Browns Ferry 1	3293.00	1098	1065	BWR	200	712	21360	107952	8	1	1974	12	20	1985	12.00	20	2033	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Peach Bottom 3	3458.00	1159	1093	BWR	204	715	21450	132172	12	23	1974	7	2	2014	7.00	2	2034	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Hatch 1	2558.00	959	924	BWR	204	716	21480	132172	12	31	1974	8	6	2014	8.00	6	2034	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Duane Arnold	1658.00	520	550	BWR	206	708	21240	68703.2	2	1	1975	2	2	2014	2.00	21	2034	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Browns Ferry 2	3293.00	1151	1118	BWR	207	711	21330	89270.4	3	1	1975	6	28	2014	6.00	28	2034	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
FitzPatrick	2536.00	847	820	BWR	211	711	21330	68703.2	7	28	1975	10	17	2014	10.00	17	2034	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Brunswick 2	2436.00	839	811	BWR	215	709	21270	68703.2	11	3	1975	12	27	2014	12.00	27	2034	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Browns Ferry 3	3293.00	1144	1118	BWR	231	712	21360	94959.2	3	1	1977	7	2	2016	7.00	2	2036	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Brunswick 1	2436.00	844	820	BWR	231	714	21420	52949.6	3	18	1977	9	18	2016	9.00	8	2036	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Hatch 2	2558.00	959	924	BWR	261	705	21150	52949.6	9	5	1979	6	13	2018	6.00	13	2038	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Susquehanna 1	3441.00	1128	1090	BWR	306	709	21270	77455.2	6	8	1983	7	17	2022	7.00	17	2042	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
LaSalle County 1	3323.00	1238	1128	BWR	313	460	13800	68703.2	1	1	1984	5	17	2022	0	0	0	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
LaSalle County 2	3323.00	1241	1131	BWR	322	470	14100	77455.2	10	19	1984	12	16	2023	0	0	0	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Columbia	3323.00	1158	1112	BWR	324	468	14040	68703.2	12	13	1984	12	20	2023	0	0	0	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Susquehanna 2	3441.00	1132	1094	BWR	326	709	21270	68703.2	2	12	1985	3	23	2024	3.00	23	2044	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Grand Gulf 1	3833.00	1260	1210	BWR	331	443	13290	84456.8	7	1	1985	6	12	2022	0	0	0	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Limerick 1	3293.00	1174	1134	BWR	338	464	13920	94959.2	2	1	1986	10	26	2024	0	0	0	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
River Bend 1	2894.00	1036	936	BWR	342	470	14100	84456.8	6	16	1986	8	29	2025	0	0	0	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Hope Creek	3293.00	1076	1031	BWR	348	712	21360	94959.2	12	20	1986	4	11	2026	4.00	11	2046	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Perry 1	3579.00	1228	1169	BWR	359	460	13800	84456.8	11	18	1987	3	18	2026	0	0	0	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Clinton 1	2894.00	973	930	BWR	359	466	13980	105461.6	11	24	1987	9	29	2026	0	0	0	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Enrico Fermi 2	3430.00	1160	1110	BWR	361	446	13380	84456.8	1	23	1988	3	20	2025	0	0	0	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Nine Mile Point 2	3467.00	1219	1154	BWR	363	703	21090	68703.2	3	11	1988	10	31	2026	10.00	31	2046	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
Limerick 2	3458.00	1190	1150	BWR	385	473	14190	84456.8	1	8	1990	6	22	2029	0	0	0	0	0	0	540	83	1998	3	16.4	16.4	50	1900	16.4	16.4	50	1968	17.03	17.03	52	1973	20.5	20.5	54	1978	23.44	23.44	54	1983	23.44	23.44	63	1988	30.3	30.3	70	1993	34.58	34.58	78	1998	38.76	38.76	87	2003	43.02	43.02	91	2008	44.72	44.72	91	2013
San Onofre 1	1308.00	456	436	PWR	116	747	22410	68703.2	8	8	1967	11	30	1992	4	9	2029	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Ginna	1520.00	508	498	PWR	151	710	21300	83732	7	1	1970	9	18	2009	9.00	18	2029	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Point Beach 1	1518.00	529	505	PWR	156	718	21540	63664	12	21	1970	10	5	2010	10.00	5	2030	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Robinson 2	2300.00	700	683	PWR	159	712	21360	100340	3	7	1971	7	31	2010	7.00	31	2030	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Palisades	2530.00	800	760	PWR	168	519	15570	94804	12	31	1971	3	24	2015	0	0	0	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Point Beach 2	1518.00	531	507	PWR	178	725	21750	132172	10	1	1972	3	18	2013	3.00	8	2033	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Turkey Point 3	2300.00	726	693	PWR	180	715	21450	96880	12	14	1972	7	19	2012	7.00	19	2032	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
