nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
Cm246,17.5523,0.0012756,0.0,0.0,1.92341e-06,0.0,1.20651
Cm247,74.1453,0.00370182,0.0,0.0,2.3836e-06,0.0,142.597
Cm248,43.8747,0.00217606,0.0,0.0,6.37723e-06,0.0,1.32355
Cm249,8.9072,0.00972591,0.0,0.0,1.02048e-05,0.0,69.172
Cm250,136.757,0.00553104,0.0,0.0,2.44004e-05,0.0,0.391504
Bk245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bk246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bk247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bk248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bk249,169.714,0.000623673,0.0,0.0,9.75029e-07,0.0,1.40995
Bk250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cf246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cf247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cf248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cf249,92.0087,0.00180174,0.0,0.0,4.5915e-07,0.0,294.334
Cf250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cf251,41.9512,0.00493501,0.0,0.0,1.04507e-06,0.0,95.2218
Cf252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cf253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cf254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es254_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
