nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
Sn115,3.11612,0.000823032,1.31897e-05,8.86429e-06,4.4868e-08,0.0,0.0
Sn116,2.31708,0.000178406,2.16439e-06,6.88378e-07,1.50519e-07,0.0,0.0
Sn117,3.25266,0.00170597,2.25395e-06,9.99252e-07,2.13018e-07,0.0,0.0
Sn118,0.755067,0.000223601,4.7249e-07,5.72473e-08,2.94153e-07,0.0,0.0
Sn119,1.08337,0.00266216,4.41317e-07,1.38542e-07,4.2063e-07,0.0,0.0
Sn120,0.227129,0.00032658,2.03423e-07,1.93769e-08,5.72765e-07,0.0,0.0
Sn121_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn122,0.124967,0.000448478,4.14854e-08,4.2334e-09,9.71536e-07,0.0,0.0
Sn123,11.3149,0.00505436,9.58369e-08,4.05038e-09,1.03524e-06,0.0,0.0
Sn124,1.45213,0.000574115,6.17569e-08,8.83916e-10,1.44777e-06,0.0,0.0
Sn125,1.69131,0.00134051,2.95145e-08,2.05283e-09,6.99161e-07,0.0,0.0
Sn126,0.0290169,0.000759577,4.96767e-09,1.60201e-10,2.39054e-06,0.0,0.0
Sb121,31.3806,0.000195576,1.61385e-05,1.40457e-07,4.54014e-08,0.0,0.0
Sb122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sb123,20.9647,0.000276873,5.58847e-06,4.91409e-08,2.11344e-07,0.0,0.0
Sb124,24.4965,0.00231505,1.02681e-06,1.23467e-07,5.92659e-07,0.0,0.0
Sb125,9.84678,0.000423454,2.35294e-07,6.39054e-08,8.36821e-07,0.0,0.0
Sb126,32.6845,0.00103426,1.89831e-06,4.25691e-08,3.29164e-07,0.0,0.0
Te120,4.23816,7.83335e-05,4.87239e-05,0.000204209,5.71149e-08,0.0,0.0
Te121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Te121_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Te122,14.5208,0.000133439,3.10568e-06,1.39755e-05,1.55463e-07,0.0,0.0
Te123,796.528,0.00129751,3.95977e-06,0.000133184,1.76147e-07,0.0,0.0
Te124,0.913186,0.000205739,1.09201e-06,1.35162e-06,3.42533e-07,0.0,0.0
Te125,4.24602,0.00203154,9.60914e-07,1.87784e-06,2.89564e-07,0.0,0.0
Te126,1.45342,0.000284134,3.69784e-07,3.53931e-07,6.17926e-07,0.0,0.0
Te127_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Te128,0.264735,0.000376553,1.38501e-07,5.38596e-08,1.09582e-06,0.0,0.0
Te129_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Te130,0.0489202,0.000471381,1.04865e-06,7.29992e-08,1.48724e-07,0.0,0.0
Te131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Te131_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Te132,0.0385687,0.000632019,7.71011e-08,2.15441e-08,4.39691e-07,0.0,0.0
I127,28.1619,0.000270584,1.24438e-05,5.73111e-07,1.18114e-07,0.0,0.0
I128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I129,4.99087,0.000400762,5.17641e-07,1.81864e-07,4.40228e-07,0.0,0.0
I130,15.0956,0.00119514,3.92981e-06,3.57385e-07,1.9542e-07,0.0,0.0
I131,12.6193,0.000534507,1.74213e-07,7.90384e-08,7.45771e-07,0.0,0.0
I132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I132_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I135,4.74224,0.000649727,4.64707e-08,1.9105e-07,7.12743e-07,0.0,0.0
Xe123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe126,10.7979,9.79513e-05,1.46462e-05,1.76666e-05,7.56553e-08,0.0,0.0
Xe127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe128,2.3334,0.000156552,6.44903e-06,2.6544e-06,2.21336e-07,0.0,0.0
Xe129,41.2954,0.00107137,2.22769e-06,3.24628e-06,2.09316e-07,0.0,0.0
Xe130,0.891757,0.000379784,2.18045e-06,1.61298e-07,6.45459e-07,0.0,0.0
Xe131,137.361,0.00144426,4.12955e-06,1.16987e-06,2.0436e-07,0.0,0.0
Xe132,1.00978,0.000259447,6.07092e-07,7.89313e-08,1.30413e-07,0.0,0.0
Xe133,12.7172,0.00272853,2.75859e-07,1.33088e-07,4.46733e-07,0.0,0.0
Xe134,0.0888932,0.000356417,4.90351e-07,6.63968e-08,1.81887e-07,0.0,0.0
Xe135,665.299,0.00266262,9.60543e-08,1.03232e-07,6.7667e-07,0.0,0.0
Xe136,0.0208177,0.00064553,1.83164e-07,4.85502e-08,3.15974e-07,0.0,0.0
Cs133,59.5613,0.000216648,5.36693e-06,6.71619e-07,2.36418e-07,0.0,0.0
Cs134,17.4356,0.0018456,1.50294e-06,4.27772e-07,3.10318e-07,0.0,0.0
Cs135,9.06675,0.000438544,4.21148e-07,1.36223e-07,4.61709e-07,0.0,0.0
Cs136,8.549,0.00214084,3.67522e-07,1.29281e-07,4.4131e-07,0.0,0.0
Cs137,0.0665253,0.00066822,6.26054e-08,5.56775e-08,9.01808e-07,0.0,0.0
Ba130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ba131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ba132,10.0332,0.000146052,8.09895e-06,9.05451e-06,1.48785e-07,0.0,0.0
Ba133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ba134,4.29428,0.000178087,2.01874e-06,2.17387e-06,3.07225e-07,0.0,0.0
Ba135,18.416,0.00112159,1.94167e-06,2.93533e-06,2.62683e-07,0.0,0.0
Ba136,0.362203,0.00027277,6.88684e-07,3.60961e-07,4.31939e-07,0.0,0.0
Ba137,0.606648,0.00164868,4.73548e-07,4.19451e-07,2.8297e-07,0.0,0.0
Ba138,0.0449936,0.000346032,1.60019e-07,5.62129e-07,2.58983e-07,0.0,0.0
Ba139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ba140,2.64257,0.00578153,2.89443e-07,3.89017e-07,5.04733e-05,0.0,0.0
La138,51.4079,0.00102863,5.98808e-06,1.21709e-06,1.54772e-07,0.0,0.0
La139,1.92928,0.000286105,3.3375e-07,1.73066e-07,1.13667e-07,0.0,0.0
La140,12.2433,0.00549654,8.93619e-07,0.000995239,7.164e-07,0.0,0.0
Ce136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ce137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ce137_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ce138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ce139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ce140,0.0468262,0.00026085,4.76712e-07,9.72549e-07,2.10183e-07,0.0,0.0
Ce141,26.1096,0.00519911,7.42918e-07,2.68509e-05,3.48599e-07,0.0,0.0
Ce142,0.147782,0.00174905,2.19456e-07,1.88172e-06,3.99197e-06,0.0,0.0
Ce143,6.53726,0.00568436,1.50583e-07,3.35534e-05,5.31997e-06,0.0,0.0
Ce144,0.456572,0.00246017,7.8508e-08,4.5496e-07,1.80163e-05,0.0,0.0
Pr141,3.19294,0.000149221,2.42931e-06,3.20113e-06,3.6541e-08,0.0,0.0
Pr142,14.7591,0.00303324,4.85305e-06,0.0194672,2.07349e-07,0.0,0.0
Pr143,22.1488,0.00155084,6.44975e-07,4.3809e-06,4.64052e-06,0.0,0.0
Nd142,0.833358,0.00015445,4.50343e-06,5.61387e-06,4.79264e-08,0.0,0.0
Nd143,19.8111,0.00184409,2.5636e-06,0.0048332,1.4298e-07,0.0,0.0
Nd144,0.786378,0.000951269,7.82865e-07,1.1813e-05,7.38362e-07,0.0,0.0
Nd145,34.4469,0.00314129,6.73527e-07,0.000247983,2.02618e-06,0.0,0.0
Nd146,0.545826,0.00124759,2.04024e-07,1.7302e-06,2.13829e-06,0.0,0.0
Nd147,82.7312,0.00670286,3.03103e-07,2.64782e-06,5.82332e-06,0.0,0.0
Nd148,2.99957,0.00152179,8.08934e-08,2.52995e-07,3.81697e-06,0.0,0.0
Nd149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nd150,2.93602,0.00139279,3.93987e-08,5.08978e-08,5.88473e-06,0.0,0.0
Pm143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pm144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pm145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pm146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pm147,305.554,0.00111765,8.97427e-07,3.91816e-06,3.3868e-06,0.0,0.0
Pm148,368.041,0.00488847,7.70794e-07,8.4728e-06,4.77861e-06,0.0,0.0
Pm148_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pm149,231.037,0.00146235,3.43007e-07,8.1755e-07,7.41246e-06,0.0,0.0
Pm150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pm151,415.122,0.000959747,3.29085e-07,7.35762e-08,3.66876e-06,0.0,0.0
Sm144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sm145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sm146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sm147,125.518,0.00134997,3.43231e-06,0.00122798,3.91381e-07,0.0,0.0
Sm148,6.81562,0.000657405,3.59911e-07,1.49507e-05,3.6816e-07,0.0,0.0
Sm149,526.698,0.00264641,9.62327e-07,0.000599623,1.03039e-06,0.0,0.0
Sm150,45.5521,0.000803645,3.53196e-07,1.16647e-06,1.61359e-06,0.0,0.0
Sm151,503.901,0.00529619,7.36932e-07,3.07055e-06,2.49207e-06,0.0,0.0
Sm152,463.468,0.000714914,2.04726e-07,1.59901e-07,1.72919e-06,0.0,0.0
Sm153,709.059,0.00474214,7.61703e-07,3.95487e-07,2.03258e-06,0.0,0.0
Sm154,6.64716,0.000962073,1.07863e-07,4.16833e-08,2.36131e-06,0.0,0.0
Eu151,335.222,0.000630986,5.03311e-06,4.60006e-06,1.07166e-06,0.0,0.0
Eu152,348.378,0.00206429,2.58122e-06,3.2116e-06,2.01014e-06,0.0,0.0
Eu153,215.815,0.000417061,3.44518e-06,1.80657e-06,8.65333e-07,0.0,0.0
Eu154,198.882,0.00317941,9.70579e-06,2.37156e-06,8.2054e-07,0.0,0.0
Eu155,978.048,0.000655081,5.48955e-06,5.92067e-06,1.54205e-06,0.0,0.0
Eu156,213.575,0.00284387,2.03503e-07,1.01484e-07,1.5679e-06,0.0,0.0
Eu157,141.857,0.00184931,2.2725e-07,5.10626e-08,3.54444e-06,0.0,0.0
Gd152,81.9972,0.000433635,7.91538e-07,0.00183888,6.66717e-07,0.0,0.0
Gd153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gd154,38.5937,0.000368816,4.08796e-07,7.01504e-07,5.24124e-07,0.0,0.0
Gd155,223.896,0.00177859,8.07009e-07,1.13474e-06,8.9169e-07,0.0,0.0
Gd156,19.4739,0.000493599,2.2716e-07,2.53485e-07,9.89535e-07,0.0,0.0
Gd157,102.378,0.00232422,3.30813e-07,5.1055e-07,8.99917e-07,0.0,0.0
Gd158,12.0559,0.00079591,1.06895e-07,1.41945e-07,7.77855e-07,0.0,0.0
Gd159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gd160,1.56083,0.00129838,4.87555e-08,7.40502e-08,2.93596e-06,0.0,0.0
Tb158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tb159,67.6167,0.000825078,4.68529e-07,2.71707e-07,1.75318e-06,0.0,0.0
Tb160,517.177,0.00307205,1.36845e-06,1.92412e-06,1.20052e-06,0.0,0.0
Tb161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dy154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dy155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dy156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dy157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dy158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dy159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dy160,171.94,0.000607561,6.73069e-07,4.94909e-07,5.32351e-07,0.0,0.0
Dy161,161.096,0.00263997,9.28471e-07,7.65307e-07,8.71195e-07,0.0,0.0
Dy162,373.549,0.000968316,2.47179e-07,1.57137e-07,1.19183e-06,0.0,0.0
Dy163,221.73,0.00343456,2.79869e-07,2.04827e-07,1.7159e-06,0.0,0.0
Dy164,41.765,0.00145641,9.82417e-08,5.48624e-08,2.33479e-06,0.0,0.0
Ho165,105.967,0.000846289,0.0,0.0,1.06484e-06,0.0,0.0
Ho166_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Er162,74.8805,0.000201088,2.54999e-06,5.14363e-06,7.81518e-08,0.0,0.0
Er163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Er164,29.8425,0.000425685,1.45043e-06,1.80975e-06,3.33523e-07,0.0,0.0
Er165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Er166,16.9607,0.000616677,6.61514e-07,3.92355e-07,7.37988e-07,0.0,0.0
Er167,276.485,0.0031482,8.93208e-07,1.14886e-06,7.83805e-07,0.0,0.0
Er168,6.90807,0.00127214,3.17289e-07,6.38377e-08,1.87957e-06,0.0,0.0
Er169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Er170,7.61815,0.00197976,1.254e-07,1.59561e-08,5.49931e-06,0.0,0.0
Tm168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tm169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tm170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tm171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yb168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yb169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yb170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yb171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yb172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yb173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yb174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yb175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yb176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lu175,97.9505,0.00120364,0.000234573,5.86554e-08,5.34767e-06,0.0,0.0
Lu176,141.619,0.00426868,0.000234676,5.87137e-08,6.35255e-06,0.0,0.0
Hf174,72.8404,0.000609673,0.0,0.0,5.62002e-07,0.0,0.0
Hf175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hf176,111.323,0.000951099,3.50416e-07,5.25455e-07,7.3273e-07,0.0,0.0
Hf177,1016.58,0.00293404,4.02024e-07,9.9567e-07,1.41913e-06,0.0,0.0
Hf178,293.444,0.00137685,7.62121e-08,6.41481e-08,2.32548e-06,0.0,0.0
Hf179,81.3665,0.00406691,2.04269e-07,2.60067e-07,3.04709e-06,0.0,0.0
Hf180,5.20683,0.00127496,3.07325e-08,1.82185e-08,2.68584e-06,0.0,0.0
Hf181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hf182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ta180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ta181,111.366,0.00143704,6.75871e-07,1.39414e-07,1.91812e-06,0.0,0.0
Ta182,154.564,0.00365414,0.0,1.22026e-07,8.81474e-06,0.0,0.0
W180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W182,83.371,0.000881624,0.0,0.0,8.7846e-07,0.0,0.0
W183,58.668,0.00369384,0.0,0.0,1.58388e-06,0.0,0.0
W184,3.04811,0.00154823,0.0,0.0,2.44797e-06,0.0,0.0
W185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W186,77.4549,0.00185108,0.0,0.0,4.62395e-06,0.0,0.0
Re185,254.882,0.0011063,1.06945e-06,2.7843e-07,1.37525e-06,0.0,0.0
Re186_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Re187,51.3464,0.00153193,4.58617e-07,5.6327e-08,3.10167e-06,0.0,0.0
Os184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Os185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Os186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Os187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Os188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Os189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Os190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Os191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Os192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ir191,422.088,0.000902686,5.2377e-07,1.80178e-07,1.72108e-06,0.0,0.0
Ir192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ir193,208.914,0.00128996,1.59828e-07,1.09128e-06,1.92864e-06,0.0,0.0
Ir194_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Au197,217.333,0.000697782,3.13742e-07,1.1382e-07,8.92272e-07,0.0,0.0
Hg196,52.1101,0.000470842,1.15698e-06,9.6273e-06,2.34421e-07,0.0,0.0
Hg197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hg197_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hg198,13.1687,0.000750478,6.12892e-07,6.3366e-08,4.13348e-07,0.0,0.0
