Country,Unit,Current Status,Type,Model,Operator,Reactor Supplier,Const. Date,Grid Date,Shutdown Date,RUP [MWe],Latitude,Longitude
CANADA,PICKERING-1,Operational,PHWR ,CANDU 500A,OPG,OH/AECL,1966-06-01,1971-04-04,,515,43.8117,-79.0658
CANADA,PICKERING-2,Permanent Shutdown,PHWR ,CANDU 500A,OPG,OH/AECL,1966-09-01,1971-10-06,2007-05-28,515,43.8117,-79.0658
CANADA,PICKERING-3,Permanent Shutdown,PHWR ,CANDU 500A,OPG,OH/AECL,1967-12-01,1972-05-03,2008-10-31,515,43.8117,-79.0658
CANADA,PICKERING-4,Operational,PHWR ,CANDU 500A,OPG,OH/AECL,1968-05-01,1973-05-21,,515,43.8117,-79.0658
CANADA,PICKERING-5,Operational,PHWR ,CANDU 500B,OPG,OH/AECL,1974-11-01,1982-12-19,,516,43.8117,-79.0658
CANADA,PICKERING-6,Operational,PHWR ,CANDU 500B,OPG,OH/AECL,1975-10-01,1983-11-08,,516,43.8117,-79.0658
CANADA,PICKERING-7,Operational,PHWR ,CANDU 500B,OPG,OH/AECL,1976-03-01,1984-11-17,,516,43.8117,-79.0658
CANADA,PICKERING-8,Operational,PHWR ,CANDU 500B,OPG,OH/AECL,1976-09-01,1986-01-21,,516,43.8117,-79.0658
CANADA,POINT LEPREAU,Operational,PHWR ,CANDU 6,NBEPC,AECL,1975-05-01,1982-09-11,,660,45.06944444,-66.45555556
CANADA,ROLPHTON NPD,Permanent Shutdown,PHWR ,CANDU,OH,CGE,1958-01-01,1962-06-04,1987-08-01,22,,
CHINA,CEFR,Operational,FBR  ,BN-20,CIAE,IZ,2000-05-10,2011-07-21,,20,,
CHINA,CHANGJIANG-1,Operational,PWR  ,CNP-600,HNPC,DEC,2010-04-25,2015-11-07,,601,19.459916,108.898838
CHINA,CHANGJIANG-2,Operational,PWR  ,CNP-600,HNPC,DEC,2010-11-21,2016-06-20,,601,19.459916,108.898838
CHINA,DAYA BAY-1,Operational,PWR  ,M310,DNMC,FRAM,1987-08-07,1993-08-31,,944,22.59726389,114.54323056
CHINA,DAYA BAY-2,Operational,PWR  ,M310,DNMC,FRAM,1988-04-07,1994-02-07,,944,22.59726389,114.54323056
CHINA,FANGCHENGGANG-1,Operational,PWR  ,CPR-1000,GFNPC,DEC,2010-07-30,2015-10-25,,1000,21.66666667,108.56666667
CHINA,FANGCHENGGANG-2,Operational,PWR  ,CPR-1000,GFNPC,DEC,2010-12-23,2016-07-15,,1000,21.66666667,108.56666667
CHINA,FANGCHENGGANG-3,Under Construction,PWR  ,HPR1000,GFNPC,CFHI,2015-12-24,,,1000,21.66666667,108.56666667
CHINA,FANGCHENGGANG-4,Under Construction,PWR  ,HPR1000,GFNPC,CFHI,2016-12-23,,,1000,21.66666667,108.56666667
CHINA,FANGJIASHAN-1,Operational,PWR  ,CPR-1000,QNPC,NPIC,2008-12-26,2014-11-04,,1012,,
CHINA,FANGJIASHAN-2,Operational,PWR  ,CPR-1000,QNPC,NPIC,2009-07-17,2015-01-12,,1012,,
CHINA,FUQING-1,Operational,PWR  ,CNP-1000,FQNP,NPIC,2008-11-21,2014-08-20,,1000,25.44583333,119.44722222
CHINA,FUQING-2,Operational,PWR  ,CNP-1000,FQNP,NPIC,2009-06-17,2015-08-06,,1000,25.44583333,119.44722222
CHINA,FUQING-3,Operational,PWR  ,CNP-1000,FQNP,NPIC,2010-12-31,2016-09-07,,1000,25.44583333,119.44722222
CHINA,FUQING-4,Operational,PWR  ,CNP-1000,FQNP,NPIC,2012-11-17,2017-07-29,,1000,25.44583333,119.44722222
CHINA,FUQING-5,Operational,PWR  ,HPR1000,FQNP,NPIC,2015-05-07,2020-11-27,,1000,25.44583333,119.44722222
CHINA,FUQING-6,Under Construction,PWR  ,HPR1000,FQNP,NPIC,2015-12-22,,,1000,25.44583333,119.44722222
CHINA,HAIYANG-1,Operational,PWR  ,AP-1000,SDNPC,WH,2009-09-24,2018-08-17,,1170,,
CHINA,HAIYANG-2,Operational,PWR  ,AP-1000,SDNPC,WH,2010-06-20,2018-10-13,,1170,,
CHINA,HONGYANHE-1,Operational,PWR  ,CPR-1000,LHNPC,DEC,2007-08-18,2013-02-17,,1061,39.80194444,121.475
CHINA,HONGYANHE-2,Operational,PWR  ,CPR-1000,LHNPC,DEC,2008-03-28,2013-11-23,,1061,39.80194444,121.475
CHINA,HONGYANHE-3,Operational,PWR  ,CPR-1000,LHNPC,DEC,2009-03-07,2015-03-23,,1061,39.80194444,121.475
CHINA,HONGYANHE-4,Operational,PWR  ,CPR-1000,LHNPC,DEC,2009-08-15,2016-04-01,,1061,39.80194444,121.475
CHINA,HONGYANHE-5,Under Construction,PWR  ,ACPR-1000,LHNPC,DEC,2015-03-29,,,1061,39.80194444,121.475
CHINA,HONGYANHE-6,Under Construction,PWR  ,ACPR-1000,LHNPC,DEC,2015-07-24,,,1061,39.80194444,121.475
CHINA,LING AO-1,Operational,PWR  ,M310,DNMC,FRAM,1997-05-15,2002-02-26,,950,22.60478889,114.55148889
CHINA,LING AO-2,Operational,PWR  ,M310,DNMC,FRAM,1997-11-28,2002-09-14,,950,22.60478889,114.55148889
CHINA,LING AO-3,Operational,PWR  ,CPR-1000,DNMC,DEC,2005-12-15,2010-07-15,,1007,22.60478889,114.55148889
CHINA,LING AO-4,Operational,PWR  ,CPR-1000,DNMC,DEC,2006-06-15,2011-05-03,,1007,22.60478889,114.55148889
CHINA,NINGDE-1,Operational,PWR  ,CPR-1000,NDNP,DEC,2008-02-18,2012-12-28,,1018,27.045,120.28333333
CHINA,NINGDE-2,Operational,PWR  ,CPR-1000,NDNP,SHE,2008-11-12,2014-01-04,,1018,27.045,120.28333333
CHINA,NINGDE-3,Operational,PWR  ,CPR-1000,NDNP,CFHI,2010-01-08,2015-03-21,,1018,27.045,120.28333333
CHINA,NINGDE-4,Operational,PWR  ,CPR-1000,NDNP,CFHI,2010-09-29,2016-03-29,,1018,27.045,120.28333333
CHINA,QINSHAN 2-1,Operational,PWR  ,CNP-600,NPQJVC,CNNC,1996-06-02,2002-02-06,,610,30.43598333,120.9581
CHINA,QINSHAN 2-2,Operational,PWR  ,CNP-600,NPQJVC,CNNC,1997-04-01,2004-03-11,,610,30.43598333,120.9581
CHINA,QINSHAN 2-3,Operational,PWR  ,CNP-600,NPQJVC,CNNC,2006-04-28,2010-08-01,,619,30.43598333,120.9581
CHINA,QINSHAN 2-4,Operational,PWR  ,CNP-600,NPQJVC,CNNC,2007-01-28,2011-11-25,,619,30.43598333,120.9581
CHINA,QINSHAN 3-1,Operational,PHWR ,CANDU 6,TQNPC,AECL,1998-06-08,2002-11-19,,677,30.43598333,120.9581
CHINA,QINSHAN 3-2,Operational,PHWR ,CANDU 6,TQNPC,AECL,1998-09-25,2003-06-12,,677,30.43598333,120.9581
CHINA,QINSHAN-1,Operational,PWR  ,CNP-300,CNNO,CNNC,1985-03-20,1991-12-15,,298,25.29147459,121.56767324
CHINA,SANMEN-1,Operational,PWR  ,AP-1000,SMNPC,WH/MHI,2009-04-19,2018-06-30,,1157,,
CHINA,SANMEN-2,Operational,PWR  ,AP-1000,SMNPC,WH/MHI,2009-12-15,2018-08-24,,1157,,
CHINA,SHIDAO BAY-1,Under Construction,HTGR ,HTR-PM,HSNPC,TSINGHUA,2012-12-09,,,200,,
CHINA,TAIPINGLING-1,Under Construction,PWR  ,HPR1000,HZNP,DEC,2019-12-26,,,1116,,
CHINA,TAIPINGLING-2,Under Construction,PWR  ,HPR1000,HZNP,CFHI,2020-10-15,,,1116,,
CHINA,TAISHAN-1,Operational,PWR  ,EPR-1750,TNPJVC,AREVA,2009-11-18,2018-06-29,,1660,21.918,112.982
CHINA,TAISHAN-2,Operational,PWR  ,EPR-1750,TNPJVC,AREVA,2010-04-15,2019-06-23,,1660,21.918,112.982
CHINA,TIANWAN-1,Operational,PWR  ,VVER V-428,JNPC,IZ,1999-10-20,2006-05-12,,990,34.686944444,119.459722222
CHINA,TIANWAN-2,Operational,PWR  ,VVER V-428,JNPC,IZ,2000-09-20,2007-05-14,,990,34.686944444,119.459722222
CHINA,TIANWAN-3,Operational,PWR  ,VVER V-428M,JNPC,IZ,2012-12-27,2017-12-30,,1045,34.686944444,119.459722222
CHINA,TIANWAN-4,Operational,PWR  ,VVER V-428M,JNPC,IZ,2013-09-27,2018-10-27,,1045,34.686944444,119.459722222
CHINA,TIANWAN-5,Operational,PWR  ,CNP-1000,JNPC,SHE,2015-12-27,2020-08-08,,1000,34.686944444,119.459722222
CHINA,TIANWAN-6,Under Construction,PWR  ,CNP-1000,JNPC,CFHI,2016-09-07,,,1000,34.686944444,119.459722222
CHINA,YANGJIANG-1,Operational,PWR  ,CPR-1000,YJNPC,CFHI,2008-12-16,2013-12-31,,1000,19.459916,108.898838
CHINA,YANGJIANG-2,Operational,PWR  ,CPR-1000,YJNPC,CFHI,2009-06-04,2015-03-10,,1000,19.459916,108.898838
CHINA,YANGJIANG-3,Operational,PWR  ,CPR-1000,YJNPC,CFHI,2010-11-15,2015-10-18,,1000,19.459916,108.898838
CHINA,YANGJIANG-4,Operational,PWR  ,CPR-1000,YJNPC,CFHI,2012-11-17,2017-01-08,,1000,19.459916,108.898838
CHINA,YANGJIANG-5,Operational,PWR  ,ACPR-1000,YJNPC,CFHI,2013-09-18,2018-05-23,,1000,19.459916,108.898838
CHINA,YANGJIANG-6,Operational,PWR  ,ACPR-1000,YJNPC,CFHI,2013-12-23,2019-06-29,,1000,19.459916,108.898838
CHINA,ZHANGZHOU-1,Under Construction,PWR  ,HPR1000,ZGZEC,CFHI,2019-10-16,,,1126,,
CHINA,ZHANGZHOU-2,Under Construction,PWR  ,HPR-1000,ZGZEC,CFHI,2020-09-04,,,1126,,
CZECH REPUBLIC,DUKOVANY-1,Operational,PWR  ,VVER V-213,CEZ,SKODA,1979-01-01,1985-02-24,,468,49.08509444,16.14899167
CZECH REPUBLIC,DUKOVANY-2,Operational,PWR  ,VVER V-213,CEZ,SKODA,1979-01-01,1986-01-30,,471,49.08509444,16.14899167
CZECH REPUBLIC,DUKOVANY-3,Operational,PWR  ,VVER V-213,CEZ,SKODA,1979-03-01,1986-11-14,,468,49.08509444,16.14899167
CZECH REPUBLIC,DUKOVANY-4,Operational,PWR  ,VVER V-213,CEZ,SKODA,1979-03-01,1987-06-11,,471,49.08509444,16.14899167
CZECH REPUBLIC,TEMELIN-1,Operational,PWR  ,VVER V-320,CEZ,SKODA,1987-02-01,2000-12-21,,1027,49.18194444,14.38138889
CZECH REPUBLIC,TEMELIN-2,Operational,PWR  ,VVER V-320,CEZ,SKODA,1987-02-01,2002-12-29,,1027,49.18194444,14.38138889
FINLAND,LOVIISA-1,Operational,PWR  ,VVER V-213,FORTUMPH,AEE,1971-05-01,1977-02-08,,507,60.37222223,26.34722223
FINLAND,LOVIISA-2,Operational,PWR  ,VVER V-213,FORTUMPH,AEE,1972-08-01,1980-11-04,,507,60.37222223,26.34722223
