Country,Name,Unit,Type,Model,Status,Net Capacity,Gross Capacity,Construction Date,Commerical Operation Date,Closure
france,Marcoule,Phénix,FBR,PH-250,Shut down,130,142,1 November 1968,14 July 1974,1 February 2010
france,Nogent,1,PWR,P4 REP 1300,Operational,1310,1363,26 May 1981,24 February 1988,
france,Nogent,2,PWR,P4 REP 1300,Operational,1310,1363,1 January 1982,1 May 1989,
france,Paluel,1,PWR,P4 REP 1300,Operational,1330,1382,15 August 1977,1 December 1985,
france,Paluel,2,PWR,P4 REP 1300,Operational,1330,1382,1 January 1978,1 December 1985,
france,Paluel,3,PWR,P4 REP 1300,Operational,1330,1382,1 February 1979,1 February 1986,
france,Paluel,4,PWR,P4 REP 1300,Operational,1330,1382,1 February 1980,1 June 1986,
france,Penly,1,PWR,P4 REP 1300,Operational,1330,1382,1 September 1982,1 December 1990,
france,Penly,2,PWR,P4 REP 1300,Operational,1330,1382,1 August 1984,1 November 1992,
france,Penly,3,PWR,EPR,Planned,1600,1650,,,
france,Saint-Alban,1,PWR,P4 REP 1300,Operational,1335,1381,29 January 1979,1 May 1986,
france,Saint-Alban,2,PWR,P4 REP 1300,Operational,1335,1381,31 July 1979,1 March 1987,
france,Saint-Laurent A,1,GCR,UNGG,Shut down,390,500,1 October 1963,1 June 1969,18 April 1990
france,Saint-Laurent A,2,GCR,UNGG,Shut down,465,530,1 January 1966,1 November 1971,27 May 1992
france,Saint-Laurent B,1,PWR,CP1,Operational,915,956,1 May 1976,1 August 1983,
france,Saint-Laurent B,2,PWR,CP1,Operational,915,956,1 July 1976,1 August 1983,
france,Superphénix,1,FBR,Na-1200,Shut down,1200,1242,13 December 1976,1 December 1986,31 December 1998
france,Tricastin,1,PWR,CP1,Operational,915,955,1 November 1974,1 December 1980,
france,Tricastin,2,PWR,CP1,Operational,915,955,1 December 1974,1 December 1980,
france,Tricastin,3,PWR,CP1,Operational,915,955,1 April 1975,11 May 1981,
france,Tricastin,4,PWR,CP1,Operational,915,955,1 May 1975,1 November 1981,
hungary,Paks,1,PWR,VVER V-213,Operational,470,500,1 August 1974,10 August 1983,
hungary,Paks,2,PWR,VVER V-213,Operational,473,500,1 August 1974,14 November 1984,
hungary,Paks,3,PWR,VVER V-213,Operational,473,500,1 October 1979,1 December 1986,
hungary,Paks,4,PWR,VVER V-213,Operational,471,500,1 October 1979,1 November 1987,
hungary,Paks,5,PWR,VVER-1200,Planned,1114,1200,,2023,
hungary,Paks,6,PWR,VVER-1200,Planned,1114,1200,,2025,
romania,Cernavodă,1,PHWR,CANDU-6,Operational,650,706,1 July 1982,2 December 1996,
romania,Cernavodă,2,PHWR,CANDU-6,Operational,650,705,1 July 1983,31 October 2007,
romania,Cernavodă,3,PHWR,CANDU-6,Unfinished,650,705,,,
romania,Cernavodă,4,PHWR,CANDU-6,Unfinished,650,705,,,
romania,Cernavodă,5,PHWR,CANDU-6,Unfinished,650,705,,,
spain,Almaraz,1,PWR,WE-3 loops,Operational,1011,1049,3 July 1973,1 September 1983,
spain,Almaraz,2,PWR,WE-3 loops,Operational,1006,1044,3 July 1973,1 July 1984,
spain,Ascó,1,PWR,WE 3-loops,Operational,995,1033,16 May 1974,10 December 1984,
spain,Ascó,2,PWR,WE-3 loops,Operational,997,1035,7 March 1975,31 March 1986,
spain,Cofrentes,1,BWR,BWR-6,Operational,1064,1102,9 September 1975,11 March 1985,
spain,José Cabrera,1,PWR,WE-1 loop,Shut down,141,150,24 June 1964,13 August 1969,30 April 2006
spain,Lemoniz,1,PWR,,Unfinished,,1000,1972,,1984
spain,Lemoniz,2,PWR,,Unfinished,,1000,1972,,1984
spain,Santa María de Garoña,1,BWR,BWR-3,Shut down,446,466,11 May 1971,15 February 1975,6 July 2013
spain,Trillo,1,PWR,KWU-3 loops,Operational,1003,1066,17 August 1979,6 August 1988,
spain,Valdecaballeros,1,BWR,,Unfinished,,975,1975,,1984
spain,Valdecaballeros,2,BWR,,Unfinished,,975,1975,,1984
spain,Vandellòs,1,GCR,,Shut down,480,500,6 May 1972,2 August 1972,31 July 1990
spain,Vandellòs,2,PWR,WE-3 loops,Operational,1045,1087,29 December 1980,8 March 1988,
sweden,Ågesta,1,PHWR,,Shut down,10,12,1 December 1957,1 May 1964,2 June 1974
sweden,Barsebäck,1,BWR,ABB-II,Shut down,600,615,1 February 1971,1 July 1975,30 November 1999
sweden,Barsebäck,2,BWR,ABB-II,Shut down,600,615,1 January 1973,1 July 1977,31 May 2005
sweden,Forsmark,1,BWR,"ABB-III, BWR-3000",Operational,984,1022,1 June 1973,10 December 1980,
sweden,Forsmark,2,BWR,"ABB-III, BWR-3000",Operational,1122,1158,1 January 1975,7 July 1981,
sweden,Forsmark,3,BWR,"ABB-III, BWR-3000",Operational,1187,1212,1 January 1979,18 August 1985,
sweden,Oskarshamn,1,BWR,ABB-I,Operational,473,492,1 August 1966,6 February 1972,
sweden,Oskarshamn,2,BWR,ABB-II,Shut down,638,661,1 September 1969,1 January 1975,October 2015
sweden,Oskarshamn,3,BWR,"ABB-III, BWR-3000",Operational,1400,1450,1 May 1980,15 August 1985,
sweden,R4,1,,,Unfinished,,130,,,
sweden,Ringhals,1,BWR,ABB-I,Operational,878,910,1 February 1969,1 January 1976,
sweden,Ringhals,2,PWR,WE 3-loops,Operational,807,847,1 October 1970,1 May 1975,
sweden,Ringhals,3,PWR,WE 3-loops,Operational,1064,1117,1 September 1972,9 September 1981,
sweden,Ringhals,4,PWR,WE 3-loops,Operational,1080,1140,1 November 1973,21 November 1983,
switzerland,Beznau,1,PWR,WH 2-loops,Operational,365,380,1 September 1965,1 September 1969,2029
switzerland,Beznau,2,PWR,WH 2-loops,Operational,365,380,1 January 1968,1 December 1971,2031
switzerland,Gösgen,1,PWR,PWR 3-loops,Operational,985,1035,1 December 1973,1 November 1979,not defined
switzerland,Leibstadt,1,BWR,BWR-6,Operational,1220,1275,1 January 1974,15 December 1984,not defined
switzerland,Mühleberg,1,BWR,BWR-4,Operational,373,390,1 March 1967,6 November 1972,2019[39]
,,,,,,,,,,
,,BWR,17,Operational,104,117526,total cap,,,
,,PWR,107,Other,144,816.1527777778,avg,,,
,,Others,20,,,,,,,
