Country,Reactor Unit,Type,Net Capacity (MWe),Status,Operator,Contstruction Date,Construction Year,First Criticality Date,First Grid Date,Commercial Date,Shutdown Date,UCF for 2013
Germany,GUNDREMMINGEN-C,BWR,1288,Operational,KGG,7/20/76,1976,10/26/84,11/2/84,1/18/85,,89.2
Germany,GREIFSWALD-5,PWR,408,Permanent Shutdown,EWN,12/1/76,1976,3/26/89,4/24/89,11/1/89,11/24/89,
Germany,GREIFSWALD-6,PWR,408,Cancelled Constr.,EWN,12/1/76,1976,,,,1/1/90,
Germany,PHILIPPSBURG-2,PWR,1402,Operational,EnKK,7/7/77,1977,12/13/84,12/17/84,4/18/85,,73.1
Germany,GREIFSWALD-7,PWR,408,Cancelled Constr.,EWN,12/1/78,1978,,,,10/1/90,
Germany,GREIFSWALD-8,PWR,408,Cancelled Constr.,EWN,12/1/78,1978,,,,10/1/90,
Germany,EMSLAND,PWR,1329,Operational,KLE,8/10/82,1982,4/14/88,4/19/88,6/20/88,,95
Germany,ISAR-2,PWR,1410,Operational,E.ON,9/15/82,1982,1/15/88,1/22/88,4/9/88,,94.3
Germany,NECKARWESTHEIM-2,PWR,1310,Operational,EnKK,11/9/82,1982,12/29/88,1/3/89,4/15/89,,90.1
Germany,STENDAL-1,PWR,900,Cancelled Constr.,EWN,12/1/82,1982,,,,3/1/91,
Germany,STENDAL-2,PWR,900,Cancelled Constr.,EWN,12/1/84,1984,,,,3/1/91,
Hungary,PAKS-1,PWR,470,Operational,PAKS Zrt,8/1/74,1974,12/14/82,12/28/82,8/10/83,,91.4
Hungary,PAKS-2,PWR,473,Operational,PAKS Zrt,8/1/74,1974,8/26/84,9/6/84,11/14/84,,90.3
Hungary,PAKS-3,PWR,473,Operational,PAKS Zrt,10/1/79,1979,9/15/86,9/28/86,12/1/86,,73.9
Hungary,PAKS-4,PWR,473,Operational,PAKS Zrt,10/1/79,1979,8/9/87,8/16/87,11/1/87,,92.1
India,TARAPUR-1,BWR,150,Operational,NPCIL,10/1/64,1964,2/1/69,4/1/69,10/28/69,,84.6
India,TARAPUR-2,BWR,150,Operational,NPCIL,10/1/64,1964,2/28/69,5/5/69,10/28/69,,32.3
India,RAJASTHAN-1,PHWR,90,Operational,NPCIL,8/1/65,1965,8/11/72,11/30/72,12/16/73,,0
India,RAJASTHAN-2,PHWR,187,Operational,NPCIL,4/1/68,1968,10/8/80,11/1/80,4/1/81,,94.1
India,MADRAS-1,PHWR,205,Operational,NPCIL,1/1/71,1971,7/2/83,7/23/83,1/27/84,,94
India,MADRAS-2,PHWR,205,Operational,NPCIL,10/1/72,1972,8/12/85,9/20/85,3/21/86,,42.6
India,NARORA-1,PHWR,202,Operational,NPCIL,12/1/76,1976,3/12/89,7/29/89,1/1/91,,90.8
India,NARORA-2,PHWR,202,Operational,NPCIL,11/1/77,1977,10/24/91,1/5/92,7/1/92,,89.5
India,KAKRAPAR-1,PHWR,202,Operational,NPCIL,12/1/84,1984,9/3/92,11/24/92,5/6/93,,95.9
India,KAKRAPAR-2,PHWR,202,Operational,NPCIL,4/1/85,1985,1/8/95,3/4/95,9/1/95,,98.6
India,KAIGA-1,PHWR,202,Operational,NPCIL,9/1/89,1989,9/26/00,10/12/00,11/16/00,,92
India,KAIGA-2,PHWR,202,Operational,NPCIL,12/1/89,1989,9/24/99,12/2/99,3/16/00,,98.3
India,RAJASTHAN-3,PHWR,202,Operational,NPCIL,2/1/90,1990,12/24/99,3/10/00,6/1/00,,98.2
India,RAJASTHAN-4,PHWR,202,Operational,NPCIL,10/1/90,1990,11/3/00,11/17/00,12/23/00,,91.4
India,TARAPUR-4,PHWR,490,Operational,NPCIL,3/8/00,2000,3/6/05,6/4/05,9/12/05,,88.8
India,TARAPUR-3,PHWR,490,Operational,NPCIL,5/12/00,2000,5/21/06,6/15/06,8/18/06,,82.1
India,KAIGA-3,PHWR,202,Operational,NPCIL,3/30/02,2002,2/26/07,4/11/07,5/6/07,,96.8
India,KUDANKULAM-1,PWR,917,Operational,NPCIL,3/31/02,2002,7/13/13,10/22/13,6/30/14,,0
India,KAIGA-4,PHWR,202,Operational,NPCIL,5/10/02,2002,11/27/10,1/19/11,1/20/11,,76.8
India,KUDANKULAM-2,PWR,917,Under Construction,NPCIL,7/4/02,2002,,,12/31/14,,
India,RAJASTHAN-5,PHWR,202,Operational,NPCIL,9/18/02,2002,11/24/09,12/22/09,2/4/10,,100
India,RAJASTHAN-6,PHWR,202,Operational,NPCIL,1/20/03,2003,1/23/10,3/28/10,3/31/10,,84.9
India,PFBR,FBR,470,Under Construction,BHAVINI,10/23/04,2004,,,,,
India,KAKRAPAR-3,PHWR,630,Under Construction,NPCIL,11/22/10,2010,12/31/14,3/31/15,6/30/15,,
India,KAKRAPAR-4,PHWR,630,Under Construction,NPCIL,11/22/10,2010,6/30/15,9/30/15,12/31/15,,
India,RAJASTHAN-7,PHWR,630,Under Construction,NPCIL,7/18/11,2011,12/31/15,3/31/16,6/30/16,,
India,RAJASTHAN-8,PHWR,630,Under Construction,NPCIL,9/30/11,2011,6/30/16,9/30/16,12/31/16,,
Iran,BUSHEHR-1,PWR,915,Operational,NPPDCO,5/1/75,1975,5/8/11,9/3/11,9/23/13,,95.1
Italy,LATINA,GCR,153,Permanent Shutdown,SOGIN,11/1/58,1958,12/27/62,5/12/63,1/1/64,12/1/87,
Italy,GARIGLIANO,BWR,150,Permanent Shutdown,SOGIN,11/1/59,1959,6/5/63,1/1/64,6/1/64,3/1/82,
Italy,ENRICO FERMI,PWR,260,Permanent Shutdown,SOGIN,7/1/61,1961,6/21/64,10/22/64,1/1/65,7/1/90,
Italy,CAORSO,BWR,860,Permanent Shutdown,SOGIN,1/1/70,1970,12/31/77,5/23/78,12/1/81,7/1/90,
Italy,CIRENE,HWLWR,35,Cancelled Constr.,ENELENEA,1/1/79,1979,,,,1/1/88,
Italy,MONTALTO DI CASTRO-1,BWR,982,Cancelled Constr.,ENEL,7/1/82,1982,,,,1/1/88,
Italy,MONTALTO DI CASTRO-2,BWR,982,Cancelled Constr.,ENEL,7/1/82,1982,,,,1/1/88,
Japan,JPDR,BWR,12,Permanent Shutdown,JAEA,12/1/60,1960,8/22/63,10/26/63,3/15/65,3/18/76,
Japan,TOKAI-1,GCR,137,Permanent Shutdown,JAPCO,3/1/61,1961,5/4/65,11/10/65,7/25/66,3/31/98,
Japan,TSURUGA-1,BWR,340,Operational,JAPCO,11/24/66,1966,10/3/69,11/16/69,3/14/70,,0
Japan,MIHAMA-1,PWR,320,Operational,KEPCO,2/1/67,1967,7/29/70,8/8/70,11/28/70,,0
Japan,FUnited KingdomUSHIMA-DAIICHI-1,BWR,439,Permanent Shutdown,TEPCO,7/25/67,1967,10/10/70,11/17/70,3/26/71,5/19/11,
Japan,MIHAMA-2,PWR,470,Operational,KEPCO,5/29/68,1968,4/10/72,4/21/72,7/25/72,,0
Japan,FUnited KingdomUSHIMA-DAIICHI-2,BWR,760,Permanent Shutdown,TEPCO,6/9/69,1969,5/10/73,12/24/73,7/18/74,5/19/11,
Japan,TAKAHAMA-1,PWR,780,Operational,KEPCO,4/25/70,1970,3/14/74,3/27/74,11/14/74,,0
Japan,SHIMANE-1,BWR,439,Operational,CHUGOKU,7/2/70,1970,6/1/73,12/2/73,3/29/74,,0
Japan,FUnited KingdomUSHIMA-DAIICHI-3,BWR,760,Permanent Shutdown,TEPCO,12/28/70,1970,9/6/74,10/26/74,3/27/76,5/19/11,
Japan,TAKAHAMA-2,PWR,780,Operational,KEPCO,3/9/71,1971,12/20/74,1/17/75,11/14/75,,0
Japan,HAMAOKA-1,BWR,515,Permanent Shutdown,CHUBU,6/10/71,1971,6/20/74,8/13/74,3/17/76,1/30/09,
Japan,GENKAI-1,PWR,529,Operational,KYUSHU,9/15/71,1971,1/28/75,2/14/75,10/15/75,,0
Japan,FUGEN ATR,HWLWR,148,Permanent Shutdown,JAEA,5/10/72,1972,3/20/78,7/29/78,3/20/79,3/29/03,
Japan,FUnited KingdomUSHIMA-DAIICHI-5,BWR,760,Permanent Shutdown,TEPCO,5/22/72,1972,8/26/77,9/22/77,4/18/78,12/17/13,0
Japan,MIHAMA-3,PWR,780,Operational,KEPCO,8/7/72,1972,1/28/76,2/19/76,12/1/76,,0
Japan,OHI-1,PWR,1120,Operational,KEPCO,10/26/72,1972,12/2/77,12/23/77,3/27/79,,0
Japan,OHI-2,PWR,1120,Operational,KEPCO,12/8/72,1972,9/14/78,10/11/78,12/5/79,,0
Japan,FUnited KingdomUSHIMA-DAIICHI-4,BWR,760,Permanent Shutdown,TEPCO,2/12/73,1973,1/28/78,2/24/78,10/12/78,5/19/11,
Japan,IKATA-1,PWR,538,Operational,SHIKOKU,9/1/73,1973,1/29/77,2/17/77,9/30/77,,0
Japan,TOKAI-2,BWR,1060,Operational,JAPCO,10/3/73,1973,1/18/78,3/13/78,11/28/78,,0
Japan,FUnited KingdomUSHIMA-DAIICHI-6,BWR,1067,Permanent Shutdown,TEPCO,10/26/73,1973,3/9/79,5/4/79,10/24/79,12/17/13,0
Japan,HAMAOKA-2,BWR,806,Permanent Shutdown,CHUBU,6/14/74,1974,3/28/78,5/4/78,11/29/78,1/30/09,
Japan,FUnited KingdomUSHIMA-DAINI-1,BWR,1067,Operational,TEPCO,3/16/76,1976,6/17/81,7/31/81,4/20/82,,0
Japan,GENKAI-2,PWR,529,Operational,KYUSHU,2/1/77,1977,5/21/80,6/3/80,3/30/81,,0
Japan,IKATA-2,PWR,538,Operational,SHIKOKU,8/1/78,1978,7/31/81,8/19/81,3/19/82,,0
Japan,FUnited KingdomUSHIMA-DAINI-2,BWR,1067,Operational,TEPCO,5/25/79,1979,4/26/83,6/23/83,2/3/84,,0
Japan,SENDAI-1,PWR,846,Operational,KYUSHU,12/15/79,1979,8/25/83,9/16/83,7/4/84,,0
Japan,KASHIWAZAKI KARIWA-1,BWR,1067,Operational,TEPCO,6/5/80,1980,12/12/84,2/13/85,9/18/85,,0
Japan,ONAGAWA-1,BWR,498,Operational,TOHOKU,7/8/80,1980,10/18/83,11/18/83,6/1/84,,0
Japan,TAKAHAMA-3,PWR,830,Operational,KEPCO,12/12/80,1980,4/17/84,5/9/84,1/17/85,,0
Japan,TAKAHAMA-4,PWR,830,Operational,KEPCO,3/19/81,1981,10/11/84,11/1/84,6/5/85,,0
Japan,FUnited KingdomUSHIMA-DAINI-3,BWR,1067,Operational,TEPCO,3/23/81,1981,10/18/84,12/14/84,6/21/85,,0
Japan,FUnited KingdomUSHIMA-DAINI-4,BWR,1067,Operational,TEPCO,5/28/81,1981,10/24/86,12/17/86,8/25/87,,0
Japan,SENDAI-2,PWR,846,Operational,KYUSHU,10/12/81,1981,3/18/85,4/5/85,11/28/85,,0
Japan,TSURUGA-2,PWR,1108,Operational,JAPCO,11/6/82,1982,5/28/86,6/19/86,2/17/87,,0
Japan,HAMAOKA-3,BWR,1056,Operational,CHUBU,4/18/83,1983,11/21/86,1/20/87,8/28/87,,0
Japan,SHIMANE-2,BWR,789,Operational,CHUGOKU,2/2/85,1985,5/25/88,7/11/88,2/10/89,,0
Japan,TOMARI-1,PWR,550,Operational,HEPCO,4/18/85,1985,11/16/88,12/6/88,6/22/89,,0
Japan,TOMARI-2,PWR,550,Operational,HEPCO,6/13/85,1985,7/25/90,8/27/90,4/12/91,,0
Japan,KASHIWAZAKI KARIWA-5,BWR,1067,Operational,TEPCO,6/20/85,1985,7/20/89,9/12/89,4/10/90,,0
Japan,KASHIWAZAKI KARIWA-2,BWR,1067,Operational,TEPCO,11/18/85,1985,11/30/89,2/8/90,9/28/90,,0
Japan,MONJU,FBR,246,Operational,JAEA,5/10/86,1986,4/5/94,8/29/95,,,0
Japan,OHI-3,PWR,1127,Operational,KEPCO,10/3/87,1987,5/17/91,6/7/91,12/18/91,,67.1
Japan,GENKAI-3,PWR,1127,Operational,KYUSHU,6/1/88,1988,5/28/93,6/15/93,3/18/94,,0
Japan,OHI-4,PWR,1127,Operational,KEPCO,6/13/88,1988,5/28/92,6/19/92,2/2/93,,70.7
Japan,KASHIWAZAKI KARIWA-3,BWR,1067,Operational,TEPCO,3/7/89,1989,10/19/92,12/8/92,8/11/93,,0
Japan,SHIKA-1,BWR,505,Operational,HOKURIKU,7/1/89,1989,11/20/92,1/12/93,7/30/93,,0
Japan,HAMAOKA-4,BWR,1092,Operational,CHUBU,10/13/89,1989,12/2/92,1/27/93,9/3/93,,0
Japan,KASHIWAZAKI KARIWA-4,BWR,1067,Operational,TEPCO,3/5/90,1990,11/1/93,12/21/93,8/11/94,,0
Japan,IKATA-3,PWR,846,Operational,SHIKOKU,10/1/90,1990,2/23/94,3/29/94,12/15/94,,0
Japan,ONAGAWA-2,BWR,796,Operational,TOHOKU,4/12/91,1991,11/2/94,12/23/94,7/28/95,,0
Japan,GENKAI-4,PWR,1127,Operational,KYUSHU,7/15/92,1992,10/23/96,11/12/96,7/25/97,,0
Japan,KASHIWAZAKI KARIWA-6,BWR,1315,Operational,TEPCO,11/3/92,1992,12/18/95,1/29/96,11/7/96,,0
Japan,KASHIWAZAKI KARIWA-7,BWR,1315,Operational,TEPCO,7/1/93,1993,11/1/96,12/17/96,7/2/97,,0
Japan,ONAGAWA-3,BWR,796,Operational,TOHOKU,1/23/98,1998,4/26/01,5/30/01,1/30/02,,0
Japan,HAMAOKA-5,BWR,1325,Operational,CHUBU,7/12/00,2000,3/23/04,4/30/04,1/18/05,,0
Japan,HIGASHI DORI-1 (TOHOKU),BWR,1067,Operational,TOHOKU,11/7/00,2000,1/24/05,3/9/05,12/8/05,,0
Japan,SHIKA-2,BWR,1108,Operational,HOKURIKU,8/20/01,2001,5/26/05,7/4/05,3/15/06,,0
Japan,TOMARI-3,PWR,866,Operational,HEPCO,11/18/04,2004,3/3/09,3/20/09,12/22/09,,0
Japan,SHIMANE-3,BWR,1325,Under Construction,CHUGOKU,10/12/07,2007,,,,,
Japan,OHMA,BWR,1325,Under Construction,EPDC,5/7/10,2010,,,,,
Kazakhstan,AKTAU,FBR,52,Permanent Shutdown,MAEC-KAZ,10/1/64,1964,11/1/72,7/16/73,7/16/73,4/22/99,
Mexico,LAGUNA VERDE-1,BWR,665,Operational,CFE,10/1/76,1976,11/8/88,4/13/89,7/29/90,,97.5
Mexico,LAGUNA VERDE-2,BWR,665,Operational,CFE,6/1/77,1977,9/6/94,11/11/94,4/10/95,,97.8
Netherlands,DODEWAARD,BWR,55,Permanent Shutdown,BV GKN,5/1/65,1965,6/24/68,10/18/68,3/26/69,3/26/97,
Netherlands,BORSSELE,PWR,482,Operational,EPZ,7/1/69,1969,6/20/73,7/4/73,10/26/73,,64.8
Pakistan,KANUPP,PHWR,90,Operational,PAEC,8/1/66,1966,8/1/71,10/18/71,12/7/72,,62.6
Pakistan,CHASNUPP-1,PWR,300,Operational,PAEC,8/1/93,1993,5/3/00,6/13/00,9/15/00,,84
Pakistan,CHASNUPP-2,PWR,300,Operational,PAEC,12/28/05,2005,2/22/11,3/14/11,5/18/11,,64.7
Pakistan,CHASNUPP-3,PWR,315,Under Construction,PAEC,5/28/11,2011,8/1/16,9/1/16,12/1/16,,
Pakistan,CHASNUPP-4,PWR,315,Under Construction,PAEC,12/18/11,2011,6/1/17,7/1/17,10/1/17,,
Philippines,BNPP-1,PWR,620,Cancelled Constr.,RPNPC,7/1/76,1976,,,,5/1/86,
Poland,ZARNOWIEC-1,PWR,440,Cancelled Constr.,EJZ,1/1/83,1983,,,,9/4/90,
Poland,ZARNOWIEC-2,PWR,440,Cancelled Constr.,EJZ,1/1/83,1983,,,,9/4/90,
Romania,CERNAVODA-1,PHWR,650,Operational,SNN,7/1/82,1982,4/16/96,7/11/96,12/2/96,,98.6
Romania,CERNAVODA-2,PHWR,650,Operational,SNN,7/1/83,1983,5/6/07,8/7/07,10/31/07,,89.2
Romania,CERNAVODA-3,PHWR,655,Suspended Constr.,SNN,2/9/84,1984,,,,,
Romania,CERNAVODA-4,PHWR,655,Suspended Constr.,SNN,8/15/85,1985,,,,,
Romania,CERNAVODA-5,PHWR,655,Cancelled Constr.,SNN,5/12/87,1987,,,,,
Russia,APS-1 OBNINSK,LWGR,5,Permanent Shutdown,MSM,1/1/51,1951,5/6/54,6/27/54,12/1/54,4/29/02,
Russia,NOVOVORONEZH-1,PWR,197,Permanent Shutdown,REA,7/1/57,1957,12/17/63,9/30/64,12/31/64,2/16/88,
Russia,BELOYARSK-1,LWGR,102,Permanent Shutdown,REA,6/1/58,1958,9/1/63,4/26/64,4/26/64,1/1/83,
Russia,BELOYARSK-2,LWGR,146,Permanent Shutdown,REA,1/1/62,1962,10/10/67,12/29/67,12/1/69,1/1/90,
Russia,NOVOVORONEZH-2,PWR,336,Permanent Shutdown,REA,6/1/64,1964,12/23/69,12/27/69,4/14/70,8/29/90,
Russia,NOVOVORONEZH-3,PWR,385,Operational,REA,7/1/67,1967,12/22/71,12/27/71,6/29/72,,85.2
Russia,NOVOVORONEZH-4,PWR,385,Operational,REA,7/1/67,1967,12/25/72,12/28/72,3/24/73,,90.4
Russia,BELOYARSK-3,FBR,560,Operational,REA,1/1/69,1969,2/26/80,4/8/80,11/1/81,,77.8
Russia,BILIBINO-1,LWGR,11,Operational,REA,1/1/70,1970,12/11/73,1/12/74,4/1/74,,79.1
Morocco,ÊSidi Boulbra Nuclear Power Plant,Not known yet,2 x 1000 MWe,Planned,,N/A,,,,2025-2030,,
Russia,BILIBINO-2,LWGR,11,Operational,REA,1/1/70,1970,12/7/74,12/30/74,2/1/75,,85.8
Russia,BILIBINO-3,LWGR,11,Operational,REA,1/1/70,1970,12/6/75,12/22/75,2/1/76,,85.6
Russia,BILIBINO-4,LWGR,11,Operational,REA,1/1/70,1970,12/12/76,12/27/76,1/1/77,,87.4
Russia,LENINGRAD-1,LWGR,925,Operational,REA,3/1/70,1970,9/12/73,12/21/73,11/1/74,,6.9
Russia,KOLA-1,PWR,411,Operational,REA,5/1/70,1970,6/26/73,6/29/73,12/28/73,,84
Russia,KOLA-2,PWR,411,Operational,REA,5/1/70,1970,11/30/74,12/9/74,2/21/75,,82.8
Russia,LENINGRAD-2,LWGR,925,Operational,REA,6/1/70,1970,5/6/75,7/11/75,2/11/76,,42.4
Russia,KURSK-1,LWGR,925,Operational,REA,6/1/72,1972,10/25/76,12/19/76,10/12/77,,81.4
Russia,KURSK-2,LWGR,925,Operational,REA,1/1/73,1973,12/16/78,1/28/79,8/17/79,,18.3
Russia,LENINGRAD-3,LWGR,925,Operational,REA,12/1/73,1973,9/17/79,12/7/79,6/29/80,,83.9
Russia,NOVOVORONEZH-5,PWR,950,Operational,REA,3/1/74,1974,4/30/80,5/31/80,2/20/81,,86.2
Russia,LENINGRAD-4,LWGR,925,Operational,REA,2/1/75,1975,12/29/80,2/9/81,8/29/81,,85.9
Russia,SMOLENSK-1,LWGR,925,Operational,REA,10/1/75,1975,9/10/82,12/9/82,9/30/83,,93.8
Russia,SMOLENSK-2,LWGR,925,Operational,REA,6/1/76,1976,4/9/85,5/31/85,7/2/85,,32.6
Russia,KOLA-4,PWR,411,Operational,REA,8/1/76,1976,10/7/84,10/11/84,12/6/84,,83.2
Russia,KALININ-1,PWR,950,Operational,REA,2/1/77,1977,4/10/84,5/9/84,6/12/85,,78.7
Russia,KOLA-3,PWR,411,Operational,REA,4/1/77,1977,2/7/81,3/24/81,12/3/82,,73.8
Russia,KURSK-3,LWGR,925,Operational,REA,4/1/78,1978,8/9/83,10/17/83,3/30/84,,87.2
Russia,BALAKOVO-1,PWR,950,Operational,REA,12/1/80,1980,12/12/85,12/28/85,5/23/86,,99.6
Russia,KURSK-4,LWGR,925,Operational,REA,5/1/81,1981,10/31/85,12/2/85,2/5/86,,74.8
Russia,BALAKOVO-2,PWR,950,Operational,REA,8/1/81,1981,10/2/87,10/8/87,1/18/88,,96.5
Russia,ROSTOV-1,PWR,950,Operational,REA,9/1/81,1981,2/23/01,3/30/01,12/25/01,,98.1
Russia,GORKIY (HEAT ONLY),BWR,0,Cancelled Constr.,REA,1/1/82,1982,,,,12/1/93,
Russia,KALININ-2,PWR,950,Operational,REA,2/1/82,1982,11/25/86,12/3/86,3/3/87,,97.6
Russia,BALAKOVO-3,PWR,950,Operational,REA,11/1/82,1982,12/16/88,12/25/88,4/8/89,,84.9
Russia,BASHKIRSK-1,PWR,950,Cancelled Constr.,REA,1/1/83,1983,,,,12/1/93,
Russia,VORONEZH (HEAT ONLY)-1,BWR,0,Suspended Constr.,REA,9/1/83,1983,,,,,
Russia,BASHKIRSK-2,PWR,950,Cancelled Constr.,REA,12/1/83,1983,,,,12/1/93,
Russia,ROSTOV-2,PWR,950,Operational,REA,5/1/83,1983,1/22/10,3/18/10,12/10/10,,92.8
Russia,SMOLENSK-4,LWGR,925,Cancelled Constr.,REA,10/1/84,1984,,,,12/1/93,
Russia,BALAKOVO-4,PWR,950,Operational,REA,4/1/84,1984,3/24/93,4/11/93,12/22/93,,89.1
Russia,SMOLENSK-3,LWGR,925,Operational,REA,5/1/84,1984,12/29/89,1/17/90,10/12/90,,95.2
Russia,VORONEZH (HEAT ONLY)-2,BWR,0,Suspended Constr.,REA,5/1/85,1985,,,,,
Russia,KALININ-3,PWR,950,Operational,REA,10/1/85,1985,11/25/04,12/16/04,11/8/05,,76.2
Russia,KURSK-5,LWGR,915,Cancelled Constr.,REA,12/1/85,1985,,,,8/15/12,
Russia,KURSK-6,LWGR,925,Cancelled Constr.,REA,8/1/86,1986,,,,12/1/93,
Russia,SOUTH URALSK-1,FBR,750,Suspended Constr.,REA,1/1/86,1986,,,,,
Russia,SOUTH URALSK-2,FBR,750,Suspended Constr.,REA,1/1/86,1986,,,,,
Russia,KALININ-4,PWR,950,Operational,REA,8/1/86,1986,11/8/11,11/24/11,12/25/12,,75.7
Russia,BALAKOVO-5,PWR,950,Suspended Constr.,REA,4/1/87,1987,,,,,
Russia,TATAR-1 (KAMA),PWR,950,Cancelled Constr.,REA,4/1/87,1987,,,,12/1/93,
Russia,BALAKOVO-6,PWR,950,Suspended Constr.,REA,5/1/88,1988,,,,,
Russia,TATAR-2 (KAMA),PWR,950,Cancelled Constr.,REA,5/1/88,1988,,,,12/1/93,
Russia,BELOYARSK-4,FBR,789,Under Construction,REA,7/18/06,2006,6/27/14,,12/31/15,,
Russia,AKADEMIK LOMONOSOV-1,PWR,32,Under Construction,REA,4/15/07,2007,,,12/31/19,,
Russia,AKADEMIK LOMONOSOV-2,PWR,32,Under Construction,REA,4/15/07,2007,,,12/31/19,,
Russia,NOVOVORONEZH 2-1,PWR,1114,Under Construction,REA,6/24/08,2008,,,12/31/15,,
Russia,LENINGRAD 2-1,PWR,1085,Under Construction,REA,10/25/08,2008,,,12/31/16,,
Russia,NOVOVORONEZH 2-2,PWR,1114,Under Construction,REA,7/12/09,2009,,,12/31/17,,
Russia,ROSTOV-3,PWR,1011,Under Construction,REA,9/15/09,2009,,,12/31/15,,
Russia,LENINGRAD 2-2,PWR,1085,Under Construction,REA,4/15/10,2010,,,12/31/18,,
Russia,ROSTOV-4,PWR,1011,Under Construction,REA,6/16/10,2010,,,12/31/18,,
Russia,BALTIC-1,PWR,1109,Under Construction,REA,2/22/12,2012,,12/31/18,12/1/19,,
Slovenia,KRSKO,PWR,688,Operational,NEK,3/30/75,1975,9/11/81,10/2/81,1/1/83,,83.5
South Africa,KOEBERG-1,PWR,930,Operational,ESKOM,7/1/76,1976,3/14/84,4/4/84,7/21/84,,68.1
South Africa,KOEBERG-2,PWR,930,Operational,ESKOM,7/1/76,1976,7/7/85,7/25/85,11/9/85,,99.8
South Korea,KORI-1,PWR,576,Operational,KHNP,4/27/72,1972,6/19/77,6/26/77,4/29/78,,49.9
South Korea,WOLSONG-1,PHWR,657,Operational,KHNP,10/30/77,1977,11/21/82,12/31/82,4/22/83,,100
South Korea,KORI-2,PWR,639,Operational,KHNP,12/4/77,1977,4/9/83,4/22/83,7/25/83,,80.3
South Korea,KORI-3,PWR,1011,Operational,KHNP,10/1/79,1979,1/1/85,1/22/85,9/30/85,,100
South Korea,KORI-4,PWR,1010,Operational,KHNP,4/1/80,1980,10/26/85,11/15/85,4/29/86,,75.4
South Korea,HANBIT-1,PWR,960,Operational,KHNP,6/4/81,1981,1/31/86,3/5/86,8/25/86,,81.8
South Korea,HANBIT-2,PWR,958,Operational,KHNP,12/10/81,1981,10/15/86,11/11/86,6/10/87,,73.2
South Korea,HANUL-1,PWR,960,Operational,KHNP,1/26/83,1983,2/25/88,4/7/88,9/10/88,,85.6
South Korea,HANUL-2,PWR,962,Operational,KHNP,7/5/83,1983,2/25/89,4/14/89,9/30/89,,88
South Korea,HANBIT-3,PWR,997,Operational,KHNP,12/23/89,1989,10/13/94,10/30/94,3/31/95,,54.3
South Korea,HANBIT-4,PWR,997,Operational,KHNP,5/26/90,1990,7/7/95,7/18/95,1/1/96,,86.8
South Korea,WOLSONG-2,PHWR,655,Operational,KHNP,6/22/92,1992,1/29/97,4/1/97,7/1/97,,82
South Korea,HANUL-3,PWR,994,Operational,KHNP,7/21/93,1993,12/21/97,1/6/98,8/11/98,,100
South Korea,HANUL-4,PWR,998,Operational,KHNP,11/1/93,1993,12/14/98,12/28/98,12/31/99,,37.8
South Korea,WOLSONG-3,PHWR,684,Operational,KHNP,3/17/94,1994,2/19/98,3/25/98,7/1/98,,90.5
South Korea,WOLSONG-4,PHWR,688,Operational,KHNP,7/22/94,1994,4/10/99,5/21/99,10/1/99,,88.5
South Korea,HANBIT-5,PWR,997,Operational,KHNP,6/29/97,1997,11/24/01,12/19/01,5/21/02,,94.3
South Korea,HANBIT-6,PWR,995,Operational,KHNP,11/20/97,1997,9/1/02,9/16/02,12/24/02,,98
South Korea,HANUL-5,PWR,996,Operational,KHNP,10/1/99,1999,11/28/03,12/18/03,7/29/04,,85.4
South Korea,HANUL-6,PWR,996,Operational,KHNP,9/29/00,2000,12/16/04,1/7/05,4/22/05,,99.9
South Korea,SHIN-KORI-1,PWR,1000,Operational,KHNP,6/16/06,2006,7/15/10,8/4/10,2/28/11,,26.5
South Korea,SHIN-KORI-2,PWR,1000,Operational,KHNP,6/5/07,2007,12/27/11,1/28/12,7/20/12,,40.6
South Korea,SHIN-WOLSONG-1,PWR,991,Operational,KHNP,11/20/07,2007,1/6/12,1/27/12,7/31/12,,37.9
South Korea,SHIN-WOLSONG-2,PWR,960,Under Construction,KHNP,9/23/08,2008,,,,,
South Korea,SHIN-KORI-3,PWR,1340,Under Construction,KHNP,10/16/08,2008,,,,,
South Korea,SHIN-KORI-4,PWR,1340,Under Construction,KHNP,8/19/09,2009,,,,,
South Korea,SHIN-HANUL-1,PWR,1340,Under Construction,KHNP,7/10/12,2012,,,6/30/16,,
South Korea,SHIN-HANUL-2,PWR,1340,Under Construction,KHNP,6/19/13,2013,,,6/30/17,,
Soviet Union,ARMENIAN-1,PWR,376,Permanent Shutdown,ANPPCJSC,7/1/69,1969,12/15/76,12/22/76,10/6/77,2/25/89,
Soviet Union,CHERNOBYL-1,LWGR,740,Permanent Shutdown,MTE,3/1/70,1970,8/2/77,9/26/77,5/27/78,11/30/96,
Soviet Union,CHERNOBYL-2,LWGR,925,Permanent Shutdown,MTE,2/1/73,1973,11/17/78,12/21/78,5/28/79,10/11/91,
Soviet Union,ROVNO-1,PWR,381,Operational,NNEGC,8/1/73,1973,12/17/80,12/22/80,9/22/81,,83.6
Soviet Union,ROVNO-2,PWR,376,Operational,NNEGC,10/1/73,1973,12/19/81,12/22/81,7/29/82,,88.6
Soviet Union,ARMENIAN-2,PWR,375,Operational,ANPPCJSC,7/1/75,1975,1/1/80,1/5/80,5/3/80,,66.4
