Country,Reactor Unit,Type,Net Capacity (MWe),Status,Operator,Contstruction Date,Construction Year,First Criticality Date,First Grid Date,Commercial Date,Shutdown Date,UCF for 2013
Canada,DARLINGTON-1,PHWR,878,Operational,OPG,4/1/82,1982,10/29/90,12/19/90,11/14/92,,98.4
Canada,DARLINGTON-3,PHWR,878,Operational,OPG,9/1/84,1984,11/9/92,12/7/92,2/14/93,,96.6
Canada,DARLINGTON-4,PHWR,878,Operational,OPG,7/1/85,1985,3/13/93,4/17/93,6/14/93,,68.8
China,QINSHAN-1,PWR,298,Operational,CNNO,3/20/85,1985,10/31/91,12/15/91,4/1/94,,81
China,DAYA BAY-1,PWR,944,Operational,DNMC,8/7/87,1987,7/28/93,8/31/93,2/1/94,,86.7
China,DAYA BAY-2,PWR,944,Operational,DNMC,4/7/88,1988,1/21/94,2/7/94,5/6/94,,85.8
China,QINSHAN 2-1,PWR,610,Operational,NPQJVC,6/2/96,1996,11/15/01,2/6/02,4/15/02,,85.8
China,QINSHAN 2-2,PWR,610,Operational,NPQJVC,4/1/97,1997,2/25/04,3/11/04,5/3/04,,88.7
China,LING AO-1,PWR,950,Operational,DNMC,5/15/97,1997,2/4/02,2/26/02,5/28/02,,82.8
China,LING AO-2,PWR,950,Operational,DNMC,11/28/97,1997,8/27/02,9/14/02,1/8/03,,88.6
China,QINSHAN 3-1,PHWR,650,Operational,TQNPC,6/8/98,1998,9/21/02,11/19/02,12/31/02,,89.9
China,QINSHAN 3-2,PHWR,650,Operational,TQNPC,9/25/98,1998,1/18/03,6/12/03,7/24/03,,99.9
China,TIANWAN-1,PWR,990,Operational,JNPC,10/20/99,1999,12/20/05,5/12/06,5/17/07,,90.7
China,CEFR,FBR,20,Operational,CIAE,5/10/00,2000,7/21/10,7/21/11,,,0
China,TIANWAN-2,PWR,990,Operational,JNPC,9/20/00,2000,5/1/07,5/14/07,8/16/07,,89.1
China,LING AO-3,PWR,1007,Operational,DNMC,12/15/05,2005,6/9/10,7/15/10,9/15/10,,90.1
China,QINSHAN 2-3,PWR,610,Operational,NPQJVC,4/28/06,2006,7/13/10,8/1/10,10/5/10,,93.5
China,LING AO-4,PWR,1007,Operational,DNMC,6/15/06,2006,2/25/11,5/3/11,8/7/11,,89
China,QINSHAN 2-4,PWR,610,Operational,NPQJVC,1/28/07,2007,11/17/11,11/25/11,12/30/11,,84.2
China,HONGYANHE-1,PWR,1061,Operational,LHNPC,8/18/07,2007,1/16/13,2/17/13,6/6/13,,99.5
China,NINGDE-1,PWR,1018,Operational,NDNP,2/18/08,2008,11/24/12,12/28/12,4/15/13,,99.9
China,HONGYANHE-2,PWR,1061,Operational,LHNPC,3/28/08,2008,10/24/13,11/23/13,5/13/14,,0
China,NINGDE-2,PWR,1018,Operational,NDNP,11/12/08,2008,12/20/13,1/4/14,5/4/14,,0
China,FUQING-1,PWR,1000,Operational,FQNP,11/21/08,2008,7/24/14,8/20/14,,,0
China,YANGJIANG-1,PWR,1000,Operational,YJNPC,12/16/08,2008,12/23/13,12/31/13,3/25/14,,0
China,FANGJIASHAN-1,PWR,1000,Operational,QNPC,12/26/08,2008,10/21/14,11/4/14,,,0
China,HONGYANHE-3,PWR,1000,Under Construction,LHNPC,3/7/09,2009,10/27/14,,,,
China,SANMEN-1,PWR,1000,Under Construction,SMNPC,4/19/09,2009,,,,,
China,YANGJIANG-2,PWR,1000,Under Construction,YJNPC,6/4/09,2009,,,,,
China,FUQING-2,PWR,1000,Under Construction,FQNP,6/17/09,2009,,,,,
China,FANGJIASHAN-2,PWR,1000,Under Construction,QNPC,7/17/09,2009,,,,,
China,HONGYANHE-4,PWR,1000,Under Construction,LHNPC,8/15/09,2009,,,,,
China,HAIYANG-1,PWR,1000,Under Construction,SDNPC,9/24/09,2009,,,,,
China,TAISHAN-1,PWR,1660,Under Construction,TNPC,11/18/09,2009,,,,,
China,SANMEN-2,PWR,1000,Under Construction,SMNPC,12/15/09,2009,,,,,
China,NINGDE-3,PWR,1018,Under Construction,NDNP,1/8/10,2010,,,,,
China,TAISHAN-2,PWR,1660,Under Construction,TNPC,4/15/10,2010,,,,,
China,CHANGJIANG-1,PWR,610,Under Construction,HNPC,4/25/10,2010,,,,,
China,HAIYANG-2,PWR,1000,Under Construction,SDNPC,6/20/10,2010,,,,,
China,FANGCHENGGANG-1,PWR,1000,Under Construction,GFNPC,7/30/10,2010,,,,,
China,NINGDE-4,PWR,1018,Under Construction,NDNP,9/29/10,2010,,,,,
China,YANGJIANG-3,PWR,1000,Under Construction,YJNPC,11/15/10,2010,,,,,
China,CHANGJIANG-2,PWR,610,Under Construction,HNPC,11/21/10,2010,,,12/31/15,,
China,FANGCHENGGANG-2,PWR,1000,Under Construction,GFNPC,12/23/10,2010,,,,,
China,FUQING-3,PWR,1000,Under Construction,FQNP,12/31/10,2010,,,7/31/15,,
China,FUQING-4,PWR,1000,Under Construction,FQNP,11/17/12,2012,,,,,
China,YANGJIANG-4,PWR,1000,Under Construction,YJNPC,11/17/12,2012,,,,,
China,SHIDAO BAY-1,HTGR,200,Under Construction,HSNPC,12/9/12,2012,,,,,
China,TIANWAN-3,PWR,990,Under Construction,JNPC,12/27/12,2012,,,,,
China,YANGJIANG-5,PWR,1000,Under Construction,YJNPC,9/18/13,2013,,,,,
China,YANGJIANG-6,PWR,1000,Under Construction,YJNPC,12/23/13,2013,,,,,
China,TIANWAN-4,PWR,990,Under Construction,JNPC,9/27/13,2013,,,,,
Czechoslovakia,BOHUNICE A1,HWGCR,93,Permanent Shutdown,JAVYS,8/1/58,1958,10/24/72,12/25/72,12/25/72,2/22/77,
Czechoslovakia,BOHUNICE-1,PWR,408,Permanent Shutdown,JAVYS,4/24/72,1972,11/27/78,12/17/78,4/1/80,12/31/06,
Czechoslovakia,BOHUNICE-2,PWR,408,Permanent Shutdown,JAVYS,4/24/72,1972,3/15/80,3/26/80,1/1/81,12/31/08,
Czechoslovakia,BOHUNICE-3,PWR,471,Operational,"SE,plc",12/1/76,1976,8/7/84,8/20/84,2/14/85,,93.7
Czechoslovakia,BOHUNICE-4,PWR,471,Operational,"SE,plc",12/1/76,1976,8/2/85,8/9/85,12/18/85,,94.5
Czechoslovakia,DUnited KingdomOVANY-1,PWR,468,Operational,CEZ,1/1/79,1979,2/12/85,2/24/85,5/3/85,,92.6
Czechoslovakia,DUnited KingdomOVANY-2,PWR,471,Operational,CEZ,1/1/79,1979,1/23/86,1/30/86,3/21/86,,90.6
Czechoslovakia,DUnited KingdomOVANY-3,PWR,468,Operational,CEZ,3/1/79,1979,10/28/86,11/14/86,12/20/86,,87.4
Czechoslovakia,DUnited KingdomOVANY-4,PWR,471,Operational,CEZ,3/1/79,1979,6/1/87,6/11/87,7/19/87,,91.4
Czechoslovakia,MOCHOVCE-1,PWR,436,Operational,"SE,plc",10/13/83,1983,6/9/98,7/4/98,10/29/98,,93.3
Czechoslovakia,MOCHOVCE-2,PWR,436,Operational,"SE,plc",10/13/83,1983,12/1/99,12/20/99,4/11/00,,94.2
Czechoslovakia,TEMELIN-3,PWR,892,Suspended Constr.,CEZ,1/1/85,1985,,,,,
Czechoslovakia,TEMELIN-4,PWR,892,Suspended Constr.,CEZ,1/1/85,1985,,,,,
Czechoslovakia,TEMELIN-1,PWR,1003,Operational,CEZ,2/1/87,1987,10/11/00,12/21/00,6/10/02,,82.3
