,SimId,TimeStep,551370000,551370000_total,922350000,922350000_total,922380000,922380000_total,942390000,942390000_total
13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,,,0.47025337104066417,0.47025337104066417,3.3986367202380094,3.3986367202380094,414.4127785558131,414.4127785558131,2.741234108330694,2.741234108330694
31,,,0.0,0.47025337104066417,0.0,3.3986367202380094,0.0,414.4127785558131,0.0,2.741234108330694
42,,,0.47025337104066417,0.9405067420813283,3.3986367202380094,6.797273440476019,414.4127785558131,828.8255571116262,2.741234108330694,5.482468216661388
43,,,0.47025337104066417,1.4107601131219925,3.3986367202380094,10.195910160714028,414.4127785558131,1243.2383356674393,2.741234108330694,8.223702324992082
49,,,0.47025337104066417,1.8810134841626567,3.3986367202380094,13.594546880952038,414.4127785558131,1657.6511142232523,2.741234108330694,10.964936433322777
50,,,0.0,1.8810134841626567,0.0,13.594546880952038,0.0,1657.6511142232523,0.0,10.964936433322777
61,,,0.47025337104066417,2.351266855203321,3.3986367202380094,16.993183601190047,414.4127785558131,2072.0638927790656,2.741234108330694,13.70617054165347
62,,,0.47025337104066417,2.821520226243985,3.3986367202380094,20.391820321428057,414.4127785558131,2486.4766713348786,2.741234108330694,16.447404649984165
66,,,0.47025337104066417,3.291773597284649,3.3986367202380094,23.790457041666066,414.4127785558131,2900.8894498906916,2.741234108330694,19.18863875831486
67,,,0.0,3.291773597284649,0.0,23.790457041666066,0.0,2900.8894498906916,0.0,19.18863875831486
68,,,0.47025337104066417,3.762026968325313,3.3986367202380094,27.189093761904076,414.4127785558131,3315.3022284465046,2.741234108330694,21.929872866645553
69,,,0.0,3.762026968325313,0.0,27.189093761904076,0.0,3315.3022284465046,0.0,21.929872866645553
73,,,0.0,3.762026968325313,0.0,27.189093761904076,0.0,3315.3022284465046,0.0,21.929872866645553
80,,,0.47025337104066417,4.232280339365977,3.3986367202380094,30.587730482142085,414.4127785558131,3729.7150070023176,2.741234108330694,24.671106974976247
81,,,0.47025337104066417,4.702533710406642,3.3986367202380094,33.986367202380094,414.4127785558131,4144.127785558131,2.741234108330694,27.41234108330694
85,,,0.47025337104066417,5.172787081447306,3.3986367202380094,37.385003922618104,414.4127785558131,4558.540564113944,2.741234108330694,30.153575191637636
86,,,0.0,5.172787081447306,0.0,37.385003922618104,0.0,4558.540564113944,0.0,30.153575191637636
87,,,0.47025337104066417,5.643040452487971,3.3986367202380094,40.78364064285611,414.4127785558131,4972.953342669757,2.741234108330694,32.89480929996833
88,,,0.0,5.643040452487971,0.0,40.78364064285611,0.0,4972.953342669757,0.0,32.89480929996833
90,,,0.47025337104066417,6.113293823528635,3.3986367202380094,44.18227736309412,414.4127785558131,5387.36612122557,2.741234108330694,35.636043408299024
91,,,0.0,6.113293823528635,0.0,44.18227736309412,0.0,5387.36612122557,0.0,35.636043408299024
99,,,0.47025337104066417,6.5835471945693,3.3986367202380094,47.58091408333213,414.4127785558131,5801.778899781383,2.741234108330694,38.37727751662972
100,,,0.47025337104066417,7.053800565609964,3.3986367202380094,50.97955080357014,414.4127785558131,6216.191678337196,2.741234108330694,41.11851162496041
104,,,0.47025337104066417,7.5240539366506285,3.3986367202380094,54.37818752380815,414.4127785558131,6630.604456893009,2.741234108330694,43.859745733291106
105,,,0.0,7.5240539366506285,0.0,54.37818752380815,0.0,6630.604456893009,0.0,43.859745733291106
106,,,0.47025337104066417,7.994307307691293,3.3986367202380094,57.77682424404616,414.4127785558131,7045.017235448822,2.741234108330694,46.6009798416218
107,,,0.0,7.994307307691293,0.0,57.77682424404616,0.0,7045.017235448822,0.0,46.6009798416218
109,,,0.47025337104066417,8.464560678731957,3.3986367202380094,61.17546096428417,414.4127785558131,7459.430014004635,2.741234108330694,49.342213949952495
110,,,0.0,8.464560678731957,0.0,61.17546096428417,0.0,7459.430014004635,0.0,49.342213949952495
118,,,0.47025337104066417,8.934814049772621,3.3986367202380094,64.57409768452217,414.4127785558131,7873.842792560448,2.741234108330694,52.08344805828319
119,,,0.47025337104066417,9.405067420813285,3.3986367202380094,67.97273440476019,414.4127785558131,8288.255571116262,2.741234108330694,54.82468216661388
123,,,0.47025337104066417,9.87532079185395,3.3986367202380094,71.3713711249982,414.4127785558131,8702.668349672076,2.741234108330694,57.56591627494458
124,,,0.0,9.87532079185395,0.0,71.3713711249982,0.0,8702.668349672076,0.0,57.56591627494458
125,,,0.47025337104066417,10.345574162894614,3.3986367202380094,74.77000784523622,414.4127785558131,9117.08112822789,2.741234108330694,60.30715038327527
126,,,0.47025337104066417,10.815827533935279,3.3986367202380094,78.16864456547424,414.4127785558131,9531.493906783704,2.741234108330694,63.048384491605965
127,,,0.47025337104066417,11.286080904975943,3.3986367202380094,81.56728128571226,414.4127785558131,9945.906685339518,2.741234108330694,65.78961859993666
128,,,0.47025337104066417,11.756334276016608,3.3986367202380094,84.96591800595027,414.4127785558131,10360.319463895332,2.741234108330694,68.53085270826736
129,,,0.0,11.756334276016608,0.0,84.96591800595027,0.0,10360.319463895332,0.0,68.53085270826736
133,,,0.0,11.756334276016608,0.0,84.96591800595027,0.0,10360.319463895332,0.0,68.53085270826736
137,,,0.47025337104066417,12.226587647057272,3.3986367202380094,88.36455472618829,414.4127785558131,10774.732242451146,2.741234108330694,71.27208681659806
138,,,0.47025337104066417,12.696841018097937,3.3986367202380094,91.7631914464263,414.4127785558131,11189.14502100696,2.741234108330694,74.01332092492876
142,,,0.47025337104066417,13.167094389138601,3.3986367202380094,95.16182816666432,414.4127785558131,11603.557799562774,2.741234108330694,76.75455503325946
143,,,0.0,13.167094389138601,0.0,95.16182816666432,0.0,11603.557799562774,0.0,76.75455503325946
144,,,0.47025337104066417,13.637347760179265,3.3986367202380094,98.56046488690234,414.4127785558131,12017.970578118588,2.741234108330694,79.49578914159017
145,,,0.47025337104066417,14.10760113121993,3.3986367202380094,101.95910160714035,414.4127785558131,12432.383356674402,2.741234108330694,82.23702324992087
146,,,0.47025337104066417,14.577854502260594,3.3986367202380094,105.35773832737837,414.4127785558131,12846.796135230215,2.741234108330694,84.97825735825157
147,,,0.47025337104066417,15.048107873301259,3.3986367202380094,108.75637504761639,414.4127785558131,13261.20891378603,2.741234108330694,87.71949146658227
148,,,0.0,15.048107873301259,0.0,108.75637504761639,0.0,13261.20891378603,0.0,87.71949146658227
150,,,0.47025337104066417,15.518361244341923,3.3986367202380094,112.1550117678544,414.4127785558131,13675.621692341843,2.741234108330694,90.46072557491297
151,,,0.0,15.518361244341923,0.0,112.1550117678544,0.0,13675.621692341843,0.0,90.46072557491297
156,,,0.47025337104066417,15.988614615382588,3.3986367202380094,115.55364848809242,414.4127785558131,14090.034470897657,2.741234108330694,93.20195968324367
157,,,0.47025337104066417,16.45886798642325,3.3986367202380094,118.95228520833044,414.4127785558131,14504.447249453471,2.741234108330694,95.94319379157437
161,,,0.47025337104066417,16.929121357463913,3.3986367202380094,122.35092192856845,414.4127785558131,14918.860028009285,2.741234108330694,98.68442789990507
162,,,0.47025337104066417,17.399374728504576,3.3986367202380094,125.74955864880647,414.4127785558131,15333.272806565099,2.741234108330694,101.42566200823578
163,,,0.47025337104066417,17.86962809954524,3.3986367202380094,129.1481953690445,414.4127785558131,15747.685585120913,2.741234108330694,104.16689611656648
164,,,0.47025337104066417,18.3398814705859,3.3986367202380094,132.5468320892825,414.4127785558131,16162.098363676727,2.741234108330694,106.90813022489718
165,,,0.47025337104066417,18.810134841626564,3.3986367202380094,135.94546880952052,414.4127785558131,16576.51114223254,2.741234108330694,109.64936433322788
166,,,0.47025337104066417,19.280388212667226,3.3986367202380094,139.34410552975854,414.4127785558131,16990.92392078835,2.741234108330694,112.39059844155858
167,,,0.0,19.280388212667226,0.0,139.34410552975854,0.0,16990.92392078835,0.0,112.39059844155858
169,,,0.47025337104066417,19.75064158370789,3.3986367202380094,142.74274224999655,414.4127785558131,17405.336699344163,2.741234108330694,115.13183254988928
170,,,0.0,19.75064158370789,0.0,142.74274224999655,0.0,17405.336699344163,0.0,115.13183254988928
174,,,0.47025337104066417,20.22089495474855,3.3986367202380094,146.14137897023457,414.4127785558131,17819.749477899975,2.741234108330694,117.87306665821998
175,,,0.47025337104066417,20.691148325789214,3.3986367202380094,149.5400156904726,414.4127785558131,18234.162256455787,2.741234108330694,120.61430076655068
176,,,0.47025337104066417,21.161401696829877,3.3986367202380094,152.9386524107106,414.4127785558131,18648.5750350116,2.741234108330694,123.35553487488139
180,,,0.47025337104066417,21.63165506787054,3.3986367202380094,156.33728913094862,414.4127785558131,19062.98781356741,2.741234108330694,126.09676898321209
216,,,0.47025337104066417,22.101908438911202,3.3986367202380094,159.73592585118664,414.4127785558131,19477.400592123224,2.741234108330694,128.8380030915428
192,,,0.47025337104066417,22.572161809951865,3.3986367202380094,163.13456257142465,414.4127785558131,19891.813370679036,2.741234108330694,131.5792371998735
181,,,0.47025337104066417,23.042415180992528,3.3986367202380094,166.53319929166267,414.4127785558131,20306.226149234848,2.741234108330694,134.3204713082042
182,,,0.47025337104066417,23.51266855203319,3.3986367202380094,169.93183601190069,414.4127785558131,20720.63892779066,2.741234108330694,137.0617054165349
183,,,0.47025337104066417,23.982921923073853,3.3986367202380094,173.3304727321387,414.4127785558131,21135.051706346472,2.741234108330694,139.8029395248656
184,,,0.47025337104066417,24.453175294114516,3.3986367202380094,176.72910945237672,414.4127785558131,21549.464484902284,2.741234108330694,142.5441736331963
185,,,0.47025337104066417,24.92342866515518,3.3986367202380094,180.12774617261474,414.4127785558131,21963.877263458096,2.741234108330694,145.285407741527
186,,,0.47025337104066417,25.39368203619584,3.3986367202380094,183.52638289285275,414.4127785558131,22378.29004201391,2.741234108330694,148.0266418498577
187,,,0.0,25.39368203619584,0.0,183.52638289285275,0.0,22378.29004201391,0.0,148.0266418498577
188,,,0.47025337104066417,25.863935407236504,3.3986367202380094,186.92501961309077,414.4127785558131,22792.70282056972,2.741234108330694,150.7678759581884
189,,,0.0,25.863935407236504,0.0,186.92501961309077,0.0,22792.70282056972,0.0,150.7678759581884
193,,,0.47025337104066417,26.334188778277166,3.3986367202380094,190.32365633332878,414.4127785558131,23207.115599125533,2.741234108330694,153.5091100665191
194,,,0.47025337104066417,26.80444214931783,3.3986367202380094,193.7222930535668,414.4127785558131,23621.528377681345,2.741234108330694,156.2503441748498
195,,,0.47025337104066417,27.27469552035849,3.3986367202380094,197.12092977380482,414.4127785558131,24035.941156237157,2.741234108330694,158.9915782831805
198,,,0.47025337104066417,27.744948891399154,3.3986367202380094,200.51956649404283,414.4127785558131,24450.35393479297,2.741234108330694,161.7328123915112
199,,,0.47025337104066417,28.215202262439817,3.3986367202380094,203.91820321428085,414.4127785558131,24864.76671334878,2.741234108330694,164.4740464998419
200,,,0.47025337104066417,28.68545563348048,3.3986367202380094,207.31683993451887,414.4127785558131,25279.179491904593,2.741234108330694,167.2152806081726
201,,,0.47025337104066417,29.155709004521142,3.3986367202380094,210.71547665475688,414.4127785558131,25693.592270460405,2.741234108330694,169.9565147165033
240,,,0.47025337104066417,29.625962375561805,3.3986367202380094,214.1141133749949,414.4127785558131,26108.005049016218,2.741234108330694,172.697748824834
202,,,0.47025337104066417,30.096215746602468,3.3986367202380094,217.51275009523292,414.4127785558131,26522.41782757203,2.741234108330694,175.4389829331647
203,,,0.47025337104066417,30.56646911764313,3.3986367202380094,220.91138681547093,414.4127785558131,26936.83060612784,2.741234108330694,178.1802170414954
204,,,0.47025337104066417,31.036722488683793,3.3986367202380094,224.31002353570895,414.4127785558131,27351.243384683654,2.741234108330694,180.9214511498261
205,,,0.47025337104066417,31.506975859724456,3.3986367202380094,227.70866025594697,414.4127785558131,27765.656163239466,2.741234108330694,183.6626852581568
206,,,0.0,31.506975859724456,0.0,227.70866025594697,0.0,27765.656163239466,0.0,183.6626852581568
207,,,0.47025337104066417,31.97722923076512,3.3986367202380094,231.10729697618498,414.4127785558131,28180.068941795278,2.741234108330694,186.40391936648751
208,,,0.0,31.97722923076512,0.0,231.10729697618498,0.0,28180.068941795278,0.0,186.40391936648751
210,,,0.47025337104066417,32.44748260180578,3.3986367202380094,234.505933696423,414.4127785558131,28594.48172035109,2.741234108330694,189.14515347481822
211,,,0.0,32.44748260180578,0.0,234.505933696423,0.0,28594.48172035109,0.0,189.14515347481822
212,,,0.47025337104066417,32.917735972846444,3.3986367202380094,237.90457041666102,414.4127785558131,29008.894498906902,2.741234108330694,191.88638758314892
213,,,0.47025337104066417,33.38798934388711,3.3986367202380094,241.30320713689903,414.4127785558131,29423.307277462714,2.741234108330694,194.62762169147962
214,,,0.47025337104066417,33.85824271492777,3.3986367202380094,244.70184385713705,414.4127785558131,29837.720056018527,2.741234108330694,197.36885579981032
217,,,0.47025337104066417,34.32849608596843,3.3986367202380094,248.10048057737507,414.4127785558131,30252.13283457434,2.741234108330694,200.11008990814102
218,,,0.0,34.32849608596843,0.0,248.10048057737507,0.0,30252.13283457434,0.0,200.11008990814102
219,,,0.47025337104066417,34.798749457009094,3.3986367202380094,251.49911729761308,414.4127785558131,30666.54561313015,2.741234108330694,202.85132401647172
220,,,0.47025337104066417,35.26900282804976,3.3986367202380094,254.8977540178511,414.4127785558131,31080.958391685963,2.741234108330694,205.59255812480242
221,,,0.47025337104066417,35.73925619909042,3.3986367202380094,258.2963907380891,414.4127785558131,31495.371170241775,2.741234108330694,208.33379223313312
222,,,0.47025337104066417,36.20950957013108,3.3986367202380094,261.6950274583271,414.4127785558131,31909.783948797587,2.741234108330694,211.07502634146383
223,,,0.47025337104066417,36.679762941171745,3.3986367202380094,265.0936641785651,414.4127785558131,32324.1967273534,2.741234108330694,213.81626044979453
224,,,0.47025337104066417,37.15001631221241,3.3986367202380094,268.49230089880314,414.4127785558131,32738.60950590921,2.741234108330694,216.55749455812523
225,,,0.0,37.15001631221241,0.0,268.49230089880314,0.0,32738.60950590921,0.0,216.55749455812523
226,,,0.47025337104066417,37.62026968325307,3.3986367202380094,271.89093761904115,414.4127785558131,33153.02228446503,2.741234108330694,219.29872866645593
227,,,0.0,37.62026968325307,0.0,271.89093761904115,0.0,33153.02228446503,0.0,219.29872866645593
229,,,0.47025337104066417,38.09052305429373,3.3986367202380094,275.28957433927917,414.4127785558131,33567.43506302084,2.741234108330694,222.03996277478663
230,,,0.0,38.09052305429373,0.0,275.28957433927917,0.0,33567.43506302084,0.0,222.03996277478663
231,,,0.47025337104066417,38.560776425334396,3.3986367202380094,278.6882110595172,414.4127785558131,33981.84784157666,2.741234108330694,224.78119688311733
232,,,0.47025337104066417,39.03102979637506,3.3986367202380094,282.0868477797552,414.4127785558131,34396.260620132474,2.741234108330694,227.52243099144803
233,,,0.47025337104066417,39.50128316741572,3.3986367202380094,285.4854844999932,414.4127785558131,34810.67339868829,2.741234108330694,230.26366509977873
234,,,0.47025337104066417,39.971536538456384,3.3986367202380094,288.88412122023124,414.4127785558131,35225.086177244106,2.741234108330694,233.00489920810944
235,,,0.0,39.971536538456384,0.0,288.88412122023124,0.0,35225.086177244106,0.0,233.00489920810944
236,,,0.47025337104066417,40.44178990949705,3.3986367202380094,292.28275794046925,414.4127785558131,35639.49895579992,2.741234108330694,235.74613331644014
237,,,0.0,40.44178990949705,0.0,292.28275794046925,0.0,35639.49895579992,0.0,235.74613331644014
238,,,0.47025337104066417,40.91204328053771,3.3986367202380094,295.68139466070727,414.4127785558131,36053.91173435574,2.741234108330694,238.48736742477084
239,,,0.47025337104066417,41.38229665157837,3.3986367202380094,299.0800313809453,414.4127785558131,36468.32451291155,2.741234108330694,241.22860153310154
241,,,0.47025337104066417,41.852550022619035,3.3986367202380094,302.4786681011833,414.4127785558131,36882.73729146737,2.741234108330694,243.96983564143224
251,,,0.47025337104066417,42.3228033936597,3.3986367202380094,305.8773048214213,414.4127785558131,37297.150070023185,2.741234108330694,246.71106974976294
242,,,0.47025337104066417,42.79305676470036,3.3986367202380094,309.27594154165934,414.4127785558131,37711.562848579,2.741234108330694,249.45230385809364
243,,,0.47025337104066417,43.26331013574102,3.3986367202380094,312.67457826189735,414.4127785558131,38125.975627134816,2.741234108330694,252.19353796642434
244,,,0.0,43.26331013574102,0.0,312.67457826189735,0.0,38125.975627134816,0.0,252.19353796642434
245,,,0.47025337104066417,43.733563506781685,3.3986367202380094,316.07321498213537,414.4127785558131,38540.38840569063,2.741234108330694,254.93477207475505
246,,,0.47025337104066417,44.20381687782235,3.3986367202380094,319.4718517023734,414.4127785558131,38954.80118424645,2.741234108330694,257.67600618308575
247,,,0.0,44.20381687782235,0.0,319.4718517023734,0.0,38954.80118424645,0.0,257.67600618308575
248,,,0.47025337104066417,44.67407024886301,3.3986367202380094,322.8704884226114,414.4127785558131,39369.21396280226,2.741234108330694,260.4172402914164
249,,,0.0,44.67407024886301,0.0,322.8704884226114,0.0,39369.21396280226,0.0,260.4172402914164
250,,,0.47025337104066417,45.14432361990367,3.3986367202380094,326.2691251428494,414.4127785558131,39783.62674135808,2.741234108330694,263.1584743997471
252,,,0.47025337104066417,45.614576990944336,3.3986367202380094,329.66776186308743,414.4127785558131,40198.039519913895,2.741234108330694,265.89970850807777
253,,,0.47025337104066417,46.084830361985,3.3986367202380094,333.06639858332545,414.4127785558131,40612.45229846971,2.741234108330694,268.64094261640844
254,,,0.0,46.084830361985,0.0,333.06639858332545,0.0,40612.45229846971,0.0,268.64094261640844
255,,,0.47025337104066417,46.55508373302566,3.3986367202380094,336.46503530356347,414.4127785558131,41026.865077025526,2.741234108330694,271.3821767247391
256,,,0.0,46.55508373302566,0.0,336.46503530356347,0.0,41026.865077025526,0.0,271.3821767247391
257,,,0.47025337104066417,47.025337104066324,3.3986367202380094,339.8636720238015,414.4127785558131,41441.27785558134,2.741234108330694,274.1234108330698
258,,,0.47025337104066417,47.49559047510699,3.3986367202380094,343.2623087440395,414.4127785558131,41855.69063413716,2.741234108330694,276.86464494140046
259,,,0.47025337104066417,47.96584384614765,3.3986367202380094,346.6609454642775,414.4127785558131,42270.10341269297,2.741234108330694,279.60587904973113
260,,,0.47025337104066417,48.43609721718831,3.3986367202380094,350.05958218451553,414.4127785558131,42684.51619124879,2.741234108330694,282.3471131580618
261,,,0.47025337104066417,48.906350588228975,3.3986367202380094,353.45821890475355,414.4127785558131,43098.928969804605,2.741234108330694,285.0883472663925
262,,,0.47025337104066417,49.37660395926964,3.3986367202380094,356.85685562499157,414.4127785558131,43513.34174836042,2.741234108330694,287.82958137472315
263,,,0.0,49.37660395926964,0.0,356.85685562499157,0.0,43513.34174836042,0.0,287.82958137472315
264,,,0.47025337104066417,49.8468573303103,3.3986367202380094,360.2554923452296,414.4127785558131,43927.75452691624,2.741234108330694,290.5708154830538
265,,,0.47025337104066417,50.31711070135096,3.3986367202380094,363.6541290654676,414.4127785558131,44342.16730547205,2.741234108330694,293.3120495913845
266,,,0.0,50.31711070135096,0.0,363.6541290654676,0.0,44342.16730547205,0.0,293.3120495913845
267,,,0.47025337104066417,50.787364072391625,3.3986367202380094,367.0527657857056,414.4127785558131,44756.58008402787,2.741234108330694,296.05328369971517
268,,,0.0,50.787364072391625,0.0,367.0527657857056,0.0,44756.58008402787,0.0,296.05328369971517
269,,,0.47025337104066417,51.25761744343229,3.3986367202380094,370.45140250594363,414.4127785558131,45170.992862583684,2.741234108330694,298.79451780804584
270,,,0.47025337104066417,51.72787081447295,3.3986367202380094,373.85003922618165,414.4127785558131,45585.4056411395,2.741234108330694,301.5357519163765
271,,,0.47025337104066417,52.19812418551361,3.3986367202380094,377.24867594641967,414.4127785558131,45999.818419695315,2.741234108330694,304.2769860247072
272,,,0.47025337104066417,52.668377556554276,3.3986367202380094,380.6473126666577,414.4127785558131,46414.23119825113,2.741234108330694,307.01822013303786
273,,,0.0,52.668377556554276,0.0,380.6473126666577,0.0,46414.23119825113,0.0,307.01822013303786
274,,,0.47025337104066417,53.13863092759494,3.3986367202380094,384.0459493868957,414.4127785558131,46828.64397680695,2.741234108330694,309.75945424136853
275,,,0.0,53.13863092759494,0.0,384.0459493868957,0.0,46828.64397680695,0.0,309.75945424136853
276,,,0.47025337104066417,53.6088842986356,3.3986367202380094,387.4445861071337,414.4127785558131,47243.05675536276,2.741234108330694,312.5006883496992
277,,,0.47025337104066417,54.079137669676264,3.3986367202380094,390.84322282737173,414.4127785558131,47657.46953391858,2.741234108330694,315.2419224580299
278,,,0.47025337104066417,54.54939104071693,3.3986367202380094,394.24185954760975,414.4127785558131,48071.882312474394,2.741234108330694,317.98315656636055
279,,,0.47025337104066417,55.01964441175759,3.3986367202380094,397.64049626784777,414.4127785558131,48486.29509103021,2.741234108330694,320.7243906746912
280,,,0.47025337104066417,55.48989778279825,3.3986367202380094,401.0391329880858,414.4127785558131,48900.707869586025,2.741234108330694,323.4656247830219
281,,,0.47025337104066417,55.960151153838915,3.3986367202380094,404.4377697083238,414.4127785558131,49315.12064814184,2.741234108330694,326.20685889135257
282,,,0.47025337104066417,56.43040452487958,3.3986367202380094,407.8364064285618,414.4127785558131,49729.53342669766,2.741234108330694,328.94809299968324
283,,,0.47025337104066417,56.90065789592024,3.3986367202380094,411.23504314879983,414.4127785558131,50143.94620525347,2.741234108330694,331.6893271080139
284,,,0.47025337104066417,57.3709112669609,3.3986367202380094,414.63367986903785,414.4127785558131,50558.35898380929,2.741234108330694,334.4305612163446
285,,,0.0,57.3709112669609,0.0,414.63367986903785,0.0,50558.35898380929,0.0,334.4305612163446
286,,,0.47025337104066417,57.841164638001565,3.3986367202380094,418.03231658927587,414.4127785558131,50972.771762365104,2.741234108330694,337.17179532467526
287,,,0.0,57.841164638001565,0.0,418.03231658927587,0.0,50972.771762365104,0.0,337.17179532467526
288,,,0.47025337104066417,58.31141800904223,3.3986367202380094,421.4309533095139,414.4127785558131,51387.18454092092,2.741234108330694,339.91302943300593
289,,,0.47025337104066417,58.78167138008289,3.3986367202380094,424.8295900297519,414.4127785558131,51801.597319476736,2.741234108330694,342.6542635413366
290,,,0.47025337104066417,59.25192475112355,3.3986367202380094,428.2282267499899,414.4127785558131,52216.01009803255,2.741234108330694,345.3954976496673
291,,,0.47025337104066417,59.722178122164216,3.3986367202380094,431.62686347022793,414.4127785558131,52630.42287658837,2.741234108330694,348.13673175799795
292,,,0.0,59.722178122164216,0.0,431.62686347022793,0.0,52630.42287658837,0.0,348.13673175799795
293,,,0.47025337104066417,60.19243149320488,3.3986367202380094,435.02550019046595,414.4127785558131,53044.83565514418,2.741234108330694,350.8779658663286
294,,,0.47025337104066417,60.66268486424554,3.3986367202380094,438.42413691070396,414.4127785558131,53459.2484337,2.741234108330694,353.6191999746593
295,,,0.47025337104066417,61.132938235286204,3.3986367202380094,441.822773630942,414.4127785558131,53873.661212255814,2.741234108330694,356.36043408298997
296,,,0.47025337104066417,61.60319160632687,3.3986367202380094,445.22141035118,414.4127785558131,54288.07399081163,2.741234108330694,359.10166819132064
